Star: J2038;    Mass table: ws4
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      6.2799   -114.6154    -32.0601
      0.400      205.0      7.2826    -98.7879    -26.3634
      0.400      210.0      8.2424    -84.0245    -21.0330
      0.400      215.0      9.1303    -69.8989    -15.9536
      0.400      220.0      9.9215    -56.0539    -11.0287
      0.400      225.0     10.6411    -42.3581     -6.1997
      0.400      230.0     11.3021    -28.5683     -1.3808
      0.400      235.0     12.0776    -16.5312      2.9605
      0.400      240.0     12.6820     -6.9756      6.3991
      0.400      245.0     13.0947      0.6989      9.1115
      0.400      250.0     13.4102      6.9559     11.3086
      0.400      255.0     13.6766     12.0691     13.1099
      0.400      260.0     13.9052     16.2198     14.5805
      0.400      265.0     14.0995     19.5523     15.7685
      0.400      270.0     14.2648     22.1931     16.7177
      0.400      275.0     14.4063     24.2603     17.4689
      0.400      280.0     14.5285     25.8748     18.0636
      0.400      285.0     14.6390     27.1137     18.5312
      0.400      290.0     14.7190     27.9618     18.8543
      0.400      295.0     14.7728     28.5362     19.0729
      0.400      300.0     14.8147     28.9539     19.2336
      0.400      305.0     14.8491     29.2647     19.3555
      0.400      310.0     14.8766     29.4849     19.4440
      0.400      315.0     14.8964     29.6251     19.5018
      0.400      320.0     14.9085     29.7021     19.5344
      0.400      325.0     14.9143     29.7370     19.5495
      0.400      330.0     14.9167     29.7514     19.5557
      0.400      335.0     14.9174     29.7550     19.5572
      0.400      340.0     14.9174     29.7550     19.5572
      0.400      345.0     14.9174     29.7550     19.5572
      0.400      350.0     14.9174     29.7550     19.5572
      0.400      355.0     14.9174     29.7550     19.5572
      0.400      360.0     14.9174     29.7550     19.5572
      0.400      365.0     14.9174     29.7550     19.5572
      0.400      370.0     14.9174     29.7550     19.5572
      0.400      375.0     14.9174     29.7550     19.5572
      0.400      380.0     14.9174     29.7550     19.5572
      0.400      385.0     14.9173     29.7550     19.5572
      0.400      390.0     14.9173     29.7550     19.5572
      0.400      395.0     14.9173     29.7550     19.5572
      0.400      400.0     14.9173     29.7550     19.5572
      0.405      200.0      5.2742   -129.0935    -37.3312
      0.405      205.0      6.4014   -111.7116    -31.0573
      0.405      210.0      7.4364    -96.0311    -25.3853
      0.405      215.0      8.4078    -81.4194    -20.0951
      0.405      220.0      9.2816    -67.3968    -15.0578
      0.405      225.0     10.0496    -53.6356    -10.1753
      0.405      230.0     10.7586    -39.9955     -5.3712
      0.405      235.0     11.4282    -26.3519     -0.5927
      0.405      240.0     12.1904    -14.7194      3.6112
      0.405      245.0     12.7596     -5.4936      6.9215
      0.405      250.0     13.1533      1.9373      9.5437
      0.405      255.0     13.4615      8.0055     11.6761
      0.405      260.0     13.7234     12.9652     13.4257
