Star: BD17;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      4.8131   -206.0508    -62.0333
      0.400      205.0      6.3617   -182.5482    -53.5336
      0.400      210.0      8.0247   -159.8059    -45.1971
      0.400      215.0      9.2769   -137.4632    -37.2663
      0.400      220.0     10.0472   -115.2048    -29.6892
      0.400      225.0     10.4833    -93.1909    -22.4166
      0.400      230.0     10.8262    -71.9658    -15.4573
      0.400      235.0     11.1807    -52.2507     -8.9685
      0.400      240.0     11.6200    -35.0657     -3.2241
      0.400      245.0     12.1298    -20.8464      1.6284
      0.400      250.0     12.5534     -9.4436      5.5297
      0.400      255.0     12.8392     -0.3782      8.5967
      0.400      260.0     13.0374      6.9340     11.0486
      0.400      265.0     13.2019     12.8550     13.0367
      0.400      270.0     13.3518     17.4676     14.6003
      0.400      275.0     13.4803     20.8413     15.7567
      0.400      280.0     13.5792     23.1562     16.5575
      0.400      285.0     13.6535     24.6644     17.0859
      0.400      290.0     13.7135     25.6191     17.4292
      0.400      295.0     13.7624     26.2223     17.6536
      0.400      300.0     13.7989     26.6099     17.8012
      0.400      305.0     13.8267     26.8722     17.9032
      0.400      310.0     13.8502     27.0573     17.9778
      0.400      315.0     13.8654     27.1692     18.0236
      0.400      320.0     13.8694     27.2122     18.0399
      0.400      325.0     13.8696     27.2223     18.0432
      0.400      330.0     13.8696     27.2222     18.0432
      0.400      335.0     13.8696     27.2222     18.0432
      0.400      340.0     13.8696     27.2222     18.0432
      0.400      345.0     13.8696     27.2222     18.0432
      0.400      350.0     13.8696     27.2222     18.0432
      0.400      355.0     13.8696     27.2222     18.0432
      0.400      360.0     13.8696     27.2221     18.0432
      0.400      365.0     13.8696     27.2221     18.0432
      0.400      370.0     13.8696     27.2221     18.0432
      0.400      375.0     13.8696     27.2221     18.0432
      0.400      380.0     13.8696     27.2221     18.0432
      0.400      385.0     13.8696     27.2221     18.0432
      0.400      390.0     13.8696     27.2221     18.0432
      0.400      395.0     13.8696     27.2220     18.0431
      0.400      400.0     13.8696     27.2220     18.0431
      0.405      200.0      4.1183   -224.4751    -68.3439
      0.405      205.0      5.1278   -201.5708    -60.3998
      0.405      210.0      6.7567   -178.0882    -51.8520
      0.405      215.0      8.3440   -155.3102    -43.5556
      0.405      220.0      9.4691   -132.8756    -35.6819
      0.405      225.0     10.1378   -110.5943    -28.1666
      0.405      230.0     10.5329    -88.6909    -20.9569
      0.405      235.0     10.8785    -67.7084    -14.0725
      0.405      240.0     11.2409    -48.4420     -7.7206
      0.405      245.0     11.7095    -31.8788     -2.1534
      0.405      250.0     12.2184    -18.2652      2.5065
      0.405      255.0     12.6193     -7.3714      6.2311
      0.405      260.0     12.8863      1.2906      9.1575
      0.405      265.0     13.0740      8.2911     11.5035
      0.405      270.0     13.2336     13.9588     13.4081
      0.405      275.0     13.3805     18.3622     14.9033
      0.405      280.0     13.5052     21.5680     16.0039
      0.405      285.0     13.6002     23.7539     16.7612
      0.405      290.0     13.6720     25.1692     17.2584
      0.405      295.0     13.7303     26.0643     17.5817
      0.405      300.0     13.7775     26.6325     17.7938
      0.405      305.0     13.8124     27.0007     17.9342
      0.405      310.0     13.8395     27.2531     18.0326
      0.405      315.0     13.8623     27.4316     18.1047
      0.405      320.0     13.8767     27.5382     18.1482
      0.405      325.0     13.8802     27.5778     18.1631
      0.405      330.0     13.8801     27.5845     18.1652
      0.405      335.0     13.8801     27.5844     18.1652
      0.405      340.0     13.8801     27.5844     18.1652
      0.405      345.0     13.8801     27.5844     18.1652
      0.405      350.0     13.8801     27.5844     18.1652
      0.405      355.0     13.8801     27.5844     18.1651
      0.405      360.0     13.8801     27.5844     18.1651
      0.405      365.0     13.8801     27.5844     18.1651
      0.405      370.0     13.8801     27.5844     18.1651
