Star: BD17;    Mass table: frdm2012
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      6.3088    -64.0257    -16.0077
      0.400      205.0      7.1904    -50.7555    -11.2037
      0.400      210.0      7.8768    -40.4820     -7.4818
      0.400      215.0      8.4215    -31.7508     -4.3450
      0.400      220.0      8.8860    -23.8270     -1.5185
      0.400      225.0      9.3032    -16.3704      1.1279
      0.400      230.0      9.6914     -9.1869      3.6680
      0.400      235.0     10.0704     -2.1335      6.1607
      0.400      240.0     10.4566      4.7417      8.6017
      0.400      245.0     10.8360     11.2402     10.9187
      0.400      250.0     11.1758     17.2695     13.0602
      0.400      255.0     11.4751     22.6852     14.9797
      0.400      260.0     11.7096     27.1931     16.5676
      0.400      265.0     11.8751     30.7249     17.7992
      0.400      270.0     11.9945     33.4037     18.7292
      0.400      275.0     12.0903     35.3842     19.4219
      0.400      280.0     12.1752     36.7933     19.9261
      0.400      285.0     12.2538     37.7473     20.2818
      0.400      290.0     12.3268     38.3679     20.5281
      0.400      295.0     12.3923     38.7671     20.6991
      0.400      300.0     12.4470     39.0219     20.8170
      0.400      305.0     12.4893     39.1849     20.8973
      0.400      310.0     12.5208     39.2942     20.9533
      0.400      315.0     12.5437     39.3709     20.9932
      0.400      320.0     12.5596     39.4249     21.0211
      0.400      325.0     12.5693     39.4599     21.0387
      0.400      330.0     12.5739     39.4758     21.0469
      0.400      335.0     12.5739     39.4758     21.0469
      0.400      340.0     12.5739     39.4758     21.0469
      0.400      345.0     12.5739     39.4758     21.0469
      0.400      350.0     12.5739     39.4758     21.0469
      0.400      355.0     12.5739     39.4758     21.0469
      0.400      360.0     12.5739     39.4758     21.0469
      0.400      365.0     12.5739     39.4758     21.0469
      0.400      370.0     12.5739     39.4757     21.0469
      0.400      375.0     12.5739     39.4757     21.0469
      0.400      380.0     12.5739     39.4757     21.0469
      0.400      385.0     12.5739     39.4757     21.0469
      0.400      390.0     12.5739     39.4756     21.0469
      0.400      395.0     12.5739     39.4756     21.0469
      0.400      400.0     12.5739     39.4756     21.0469
      0.405      200.0      5.5837    -78.4960    -21.0859
      0.405      205.0      6.4850    -60.6718    -14.8252
      0.405      210.0      7.3429    -48.0022    -10.2276
      0.405      215.0      8.0034    -38.0583     -6.6278
      0.405      220.0      8.5338    -29.5208     -3.5621
      0.405      225.0      8.9920    -21.7294     -0.7818
      0.405      230.0      9.4058    -14.3805      1.8282
      0.405      235.0      9.7925     -7.2807      4.3407
      0.405      240.0     10.1737     -0.3082      6.8092
      0.405      245.0     10.5622      6.4540      9.2160
      0.405      250.0     10.9344     12.8084     11.4826
      0.405      255.0     11.2615     18.6768     13.5644
      0.405      260.0     11.5418     23.8865     15.4058
      0.405      265.0     11.7566     28.1903     16.9155
      0.405      270.0     11.9088     31.5590     18.0865
      0.405      275.0     12.0212     34.1165     18.9732
      0.405      280.0     12.1134     36.0056     19.6346
      0.405      285.0     12.1962     37.3463     20.1157
      0.405      290.0     12.2736     38.2522     20.4552
      0.405      295.0     12.3455     38.8430     20.6913
      0.405      300.0     12.4099     39.2250     20.8561
      0.405      305.0     12.4633     39.4702     20.9701
      0.405      310.0     12.5044     39.6289     21.0483
      0.405      315.0     12.5352     39.7364     21.1033
      0.405      320.0     12.5576     39.8122     21.1425
      0.405      325.0     12.5729     39.8655     21.1697
      0.405      330.0     12.5816     39.8979     21.1860
      0.405      335.0     12.5852     39.9098     21.1922
      0.405      340.0     12.5852     39.9098     21.1922
      0.405      345.0     12.5852     39.9098     21.1922
      0.405      350.0     12.5852     39.9098     21.1922
      0.405      355.0     12.5852     39.9098     21.1922
      0.405      360.0     12.5852     39.9098     21.1922
      0.405      365.0     12.5852     39.9098     21.1922
      0.405      370.0     12.5852     39.9098     21.1922
      0.405      375.0     12.5852     39.9098     21.1921
      0.405      380.0     12.5852     39.9097     21.1921
      0.405      385.0     12.5852     39.9097     21.1921
      0.405      390.0     12.5852     39.9097     21.1921
      0.405      395.0     12.5852     39.9097     21.1921
      0.405      400.0     12.5852     39.9096     21.1921
