Star: BD17;    Mass table: hfb24
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      6.8232   -207.4904    -61.1248
      0.400      205.0      7.1503   -188.8224    -54.9866
      0.400      210.0      7.6926   -164.9592    -47.0558
      0.400      215.0      8.4262   -142.2209    -39.3516
      0.400      220.0      9.0614   -119.1433    -31.6067
      0.400      225.0      9.6146    -93.2783    -23.0341
      0.400      230.0     10.0639    -65.4096    -13.8970
      0.400      235.0     10.2893    -41.3054     -6.1050
      0.400      240.0     10.4809    -23.7824     -0.4216
      0.400      245.0     10.7146    -11.3102      3.6898
      0.400      250.0     10.9595     -2.1517      6.7585
      0.400      255.0     11.1829      4.6907      9.0787
      0.400      260.0     11.3667      9.7890     10.8192
      0.400      265.0     11.5081     13.5345     12.1021
      0.400      270.0     11.6161     16.2301     13.0297
      0.400      275.0     11.7047     18.1118     13.6862
      0.400      280.0     11.7861     19.3672     14.1393
      0.400      285.0     11.8673     20.1641     14.4470
      0.400      290.0     11.9442     20.6403     14.6502
      0.400      295.0     12.0040     20.9089     14.7759
      0.400      300.0     12.0450     21.0566     14.8505
      0.400      305.0     12.0724     21.1395     14.8954
      0.400      310.0     12.0875     21.1873     14.9208
      0.400      315.0     12.0937     21.2129     14.9331
      0.400      320.0     12.0951     21.2232     14.9373
      0.400      325.0     12.0950     21.2251     14.9379
      0.400      330.0     12.0951     21.2262     14.9383
      0.400      335.0     12.0954     21.2276     14.9389
      0.400      340.0     12.0954     21.2276     14.9389
      0.400      345.0     12.0954     21.2276     14.9389
      0.400      350.0     12.0954     21.2276     14.9389
      0.400      355.0     12.0954     21.2276     14.9389
      0.400      360.0     12.0954     21.2276     14.9389
      0.400      365.0     12.0954     21.2276     14.9389
      0.400      370.0     12.0954     21.2276     14.9389
      0.400      375.0     12.0954     21.2276     14.9389
      0.400      380.0     12.0954     21.2275     14.9389
      0.400      385.0     12.0954     21.2275     14.9389
      0.400      390.0     12.0954     21.2275     14.9389
      0.400      395.0     12.0954     21.2275     14.9389
      0.400      400.0     12.0954     21.2275     14.9389
      0.405      200.0      6.3984   -217.7824    -64.6750
      0.405      205.0      6.9124   -204.5188    -60.1225
      0.405      210.0      7.2237   -184.3189    -53.5095
      0.405      215.0      7.8390   -160.3914    -45.5088
      0.405      220.0      8.5616   -137.7180    -37.8326
