Star: BD17;    Mass table: ws4
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      4.5359   -121.9137    -35.5571
      0.400      205.0      5.5386   -104.0624    -29.2190
      0.400      210.0      6.4984    -87.4917    -23.3158
      0.400      215.0      7.3863    -71.7270    -17.7169
      0.400      220.0      8.1775    -56.4238    -12.3299
      0.400      225.0      8.8971    -41.5071     -7.1140
      0.400      230.0      9.5581    -26.7694     -1.9947
      0.400      235.0     10.3336    -14.0340      2.5679
      0.400      240.0     10.9380     -3.9845      6.1630
      0.400      245.0     11.3507      4.0306      8.9834
      0.400      250.0     11.6662     10.5162     11.2529
      0.400      255.0     11.9326     15.7779     13.1013
      0.400      260.0     12.1612     20.0216     14.6014
      0.400      265.0     12.3555     23.4094     15.8069
      0.400      270.0     12.5208     26.0807     16.7658
      0.400      275.0     12.6623     28.1621     17.5214
      0.400      280.0     12.7845     29.7808     18.1174
      0.400      285.0     12.8950     31.0180     18.5845
      0.400      290.0     12.9750     31.8616     18.9062
      0.400      295.0     13.0288     32.4315     19.1233
      0.400      300.0     13.0707     32.8458     19.2830
      0.400      305.0     13.1051     33.1543     19.4042
      0.400      310.0     13.1326     33.3733     19.4923
      0.400      315.0     13.1524     33.5128     19.5499
      0.400      320.0     13.1645     33.5895     19.5824
      0.400      325.0     13.1703     33.6245     19.5974
      0.400      330.0     13.1727     33.6388     19.6036
      0.400      335.0     13.1734     33.6424     19.6052
      0.400      340.0     13.1734     33.6424     19.6052
      0.400      345.0     13.1734     33.6424     19.6052
      0.400      350.0     13.1734     33.6424     19.6052
      0.400      355.0     13.1734     33.6424     19.6052
      0.400      360.0     13.1734     33.6424     19.6052
      0.400      365.0     13.1734     33.6424     19.6052
      0.400      370.0     13.1734     33.6424     19.6052
      0.400      375.0     13.1734     33.6424     19.6052
      0.400      380.0     13.1734     33.6424     19.6052
      0.400      385.0     13.1733     33.6424     19.6052
      0.400      390.0     13.1733     33.6424     19.6052
      0.400      395.0     13.1733     33.6423     19.6052
      0.400      400.0     13.1733     33.6423     19.6052
      0.405      200.0      3.5302   -138.3434    -41.4466
      0.405      205.0      4.6574   -118.6542    -34.4415
      0.405      210.0      5.6924   -100.9760    -28.1364
      0.405      215.0      6.6638    -84.5745    -22.2790
      0.405      220.0      7.5376    -68.9302    -16.7278
      0.405      225.0      8.3056    -53.7374    -11.3916
      0.405      230.0      9.0146    -38.9152     -6.2128
      0.405      235.0      9.6842    -24.3617     -1.1460
      0.405      240.0     10.4464    -12.0623      3.2693
      0.405      245.0     11.0156     -2.3654      6.7289
      0.405      250.0     11.4093      5.3898      9.4539
      0.405      255.0     11.7175     11.6747     11.6549
      0.405      260.0     11.9794     16.7748     13.4490
      0.405      265.0     12.2035     20.8859     14.9040
      0.405      270.0     12.3936     24.1653     16.0724
      0.405      275.0     12.5553     26.7492     17.0011
      0.405      280.0     12.6932     28.7621     17.7326
      0.405      285.0     12.8126     30.3291     18.3102
      0.405      290.0     12.9193     31.5167     18.7591
      0.405      295.0     12.9951     32.3223     19.0658
      0.405      300.0     13.0467     32.8706     19.2746
      0.405      305.0     13.0874     33.2713     19.4293
      0.405      310.0     13.1210     33.5697     19.5467
      0.405      315.0     13.1478     33.7807     19.6317
      0.405      320.0     13.1669     33.9143     19.6870
      0.405      325.0     13.1783     33.9868     19.7177
      0.405      330.0     13.1833     34.0171     19.7307
      0.405      335.0     13.1854     34.0290     19.7359
      0.405      340.0     13.1854     34.0293     19.7360
      0.405      345.0     13.1854     34.0293     19.7360
      0.405      350.0     13.1854     34.0293     19.7360
      0.405      355.0     13.1854     34.0293     19.7360
      0.405      360.0     13.1854     34.0293     19.7360
      0.405      365.0     13.1854     34.0293     19.7360
      0.405      370.0     13.1854     34.0293     19.7360
      0.405      375.0     13.1854     34.0293     19.7360
      0.405      380.0     13.1854     34.0293     19.7360
      0.405      385.0     13.1854     34.0293     19.7360
      0.405      390.0     13.1854     34.0293     19.7360
      0.405      395.0     13.1854     34.0293     19.7360
      0.405      400.0     13.1854     34.0293     19.7360
      0.410      200.0      2.3382   -157.3536    -48.2805
      0.410      205.0      3.6526   -134.8679    -40.2621
      0.410      210.0      4.7934   -115.4287    -33.3271
      0.410      215.0      5.8582    -97.9457    -27.0635
      0.410      220.0      6.8312    -81.7083    -21.2570
      0.410      225.0      7.6822    -66.1805    -15.7582
      0.410      230.0      8.4304    -51.1105    -10.4744
