Star: CS29497;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      9.6091   -188.9998    -53.3735
      0.400      205.0     11.1577   -168.0101    -45.6702
      0.400      210.0     12.8207   -147.6415    -38.0860
      0.400      215.0     14.0729   -127.5191    -30.8589
      0.400      220.0     14.8432   -107.2966    -23.9270
      0.400      225.0     15.2793    -87.0781    -17.2234
      0.400      230.0     15.6222    -67.3378    -10.7346
      0.400      235.0     15.9767    -48.7586     -4.6058
      0.400      240.0     16.4160    -32.3955      0.8781
      0.400      245.0     16.9258    -18.7637      5.5444
      0.400      250.0     17.3494     -7.7858      9.3110
      0.400      255.0     17.6352      0.9720     12.2806
      0.400      260.0     17.8334      8.0647     14.6629
      0.400      265.0     17.9979     13.8326     16.6025
      0.400      270.0     18.1478     18.3424     18.1336
      0.400      275.0     18.2763     21.6525     19.2698
      0.400      280.0     18.3752     23.9336     20.0599
      0.400      285.0     18.4495     25.4277     20.5838
      0.400      290.0     18.5095     26.3786     20.9259
      0.400      295.0     18.5584     26.9822     21.1504
      0.400      300.0     18.5949     27.3709     21.2983
      0.400      305.0     18.6227     27.6337     21.4005
      0.400      310.0     18.6462     27.8187     21.4751
      0.400      315.0     18.6614     27.9305     21.5208
      0.400      320.0     18.6654     27.9734     21.5371
      0.400      325.0     18.6656     27.9835     21.5405
      0.400      330.0     18.6656     27.9835     21.5405
      0.400      335.0     18.6656     27.9835     21.5405
      0.400      340.0     18.6656     27.9835     21.5405
      0.400      345.0     18.6656     27.9835     21.5405
      0.400      350.0     18.6656     27.9835     21.5405
      0.400      355.0     18.6656     27.9835     21.5405
      0.400      360.0     18.6656     27.9835     21.5405
      0.400      365.0     18.6656     27.9835     21.5405
      0.400      370.0     18.6656     27.9835     21.5405
      0.400      375.0     18.6656     27.9835     21.5405
      0.400      380.0     18.6656     27.9835     21.5405
      0.400      385.0     18.6656     27.9835     21.5405
      0.400      390.0     18.6656     27.9835     21.5405
      0.400      395.0     18.6656     27.9835     21.5405
      0.400      400.0     18.6656     27.9835     21.5405
      0.405      200.0      8.9143   -205.3228    -59.0182
      0.405      205.0      9.9238   -185.0522    -51.9088
      0.405      210.0     11.5527   -164.0684    -44.1529
      0.405      215.0     13.1400   -143.6472    -36.6034
      0.405      220.0     14.2651   -123.4119    -29.4267
      0.405      225.0     14.9338   -103.1358    -22.5469
      0.405      230.0     15.3289    -82.9827    -15.8918
      0.405      235.0     15.6745    -63.4261     -9.4594
      0.405      240.0     16.0369    -45.2361     -3.4486
      0.405      245.0     16.5055    -29.4480      1.8730
      0.405      250.0     17.0144    -16.3904      6.3567
      0.405      255.0     17.4153     -5.9005      9.9533
      0.405      260.0     17.6823      2.4687     12.7869
      0.405      265.0     17.8700      9.2607     15.0668
      0.405      270.0     18.0296     14.7833     16.9254
      0.405      275.0     18.1765     19.0901     18.3900
      0.405      280.0     18.3012     22.2371     19.4720
      0.405      285.0     18.3962     24.3925     20.2196
      0.405      290.0     18.4680     25.7956     20.7129
      0.405      295.0     18.5263     26.6880     21.0354
      0.405      300.0     18.5735     27.2569     21.2477
      0.405      305.0     18.6084     27.6263     21.3884
      0.405      310.0     18.6355     27.8791     21.4869
      0.405      315.0     18.6583     28.0576     21.5590
      0.405      320.0     18.6727     28.1640     21.6025
      0.405      325.0     18.6762     28.2035     21.6174
      0.405      330.0     18.6761     28.2103     21.6195
      0.405      335.0     18.6761     28.2103     21.6195
      0.405      340.0     18.6761     28.2103     21.6195
      0.405      345.0     18.6761     28.2103     21.6195
      0.405      350.0     18.6761     28.2103     21.6195
      0.405      355.0     18.6761     28.2103     21.6195
      0.405      360.0     18.6761     28.2103     21.6195
      0.405      365.0     18.6761     28.2103     21.6195
      0.405      370.0     18.6761     28.2103     21.6195
      0.405      375.0     18.6761     28.2103     21.6195
      0.405      380.0     18.6761     28.2103     21.6195
      0.405      385.0     18.6761     28.2103     21.6195
      0.405      390.0     18.6761     28.2103     21.6195
      0.405      395.0     18.6761     28.2103     21.6195
      0.405      400.0     18.6761     28.2103     21.6195
      0.410      200.0      8.0618   -217.9415    -63.5961
      0.410      205.0      9.1351   -201.8688    -57.7737
      0.410      210.0     10.2701   -181.1110    -50.4247
      0.410      215.0     11.9375   -160.1066    -42.6361
      0.410      220.0     13.4209   -139.6412    -35.1432
      0.410      225.0     14.4228   -119.3205    -28.0230
      0.410      230.0     15.0044    -99.0298    -21.1977
      0.410      235.0     15.3787    -78.9700    -14.5863
      0.410      240.0     15.7236    -59.6126     -8.2175
      0.410      245.0     16.1031    -41.8783     -2.3395
      0.410      250.0     16.5972    -26.6741      2.8144
      0.410      255.0     17.0983    -14.1637      7.1193
      0.410      260.0     17.4766     -4.1320     10.5554
      0.410      265.0     17.7266      3.8723     13.2618
      0.410      270.0     17.9054     10.3816     15.4460
      0.410      275.0     18.0608     15.6731     17.2285
      0.410      280.0     18.2046     19.7897     18.6308
      0.410      285.0     18.3254     22.7839     19.6617
      0.410      290.0     18.4167     24.8217     20.3695
      0.410      295.0     18.4863     26.1418     20.8351
      0.410      300.0     18.5431     26.9815     21.1398
      0.410      305.0     18.5885     27.5196     21.3411
      0.410      310.0     18.6219     27.8717     21.4754
      0.410      315.0     18.6484     28.1157     21.5707
      0.410      320.0     18.6707     28.2882     21.6405
      0.410      325.0     18.6838     28.3869     21.6807
      0.410      330.0     18.6860     28.4167     21.6917
      0.410      335.0     18.6861     28.4195     21.6926
      0.410      340.0     18.6861     28.4195     21.6926
      0.410      345.0     18.6861     28.4195     21.6926
      0.410      350.0     18.6861     28.4195     21.6926
      0.410      355.0     18.6861     28.4195     21.6926
      0.410      360.0     18.6861     28.4195     21.6926
      0.410      365.0     18.6861     28.4195     21.6926
      0.410      370.0     18.6861     28.4195     21.6926
      0.410      375.0     18.6861     28.4195     21.6926
      0.410      380.0     18.6861     28.4195     21.6926
      0.410      385.0     18.6861     28.4195     21.6926
      0.410      390.0     18.6861     28.4195     21.6926
      0.410      395.0     18.6861     28.4195     21.6926
      0.410      400.0     18.6861     28.4195     21.6926
      0.415      200.0      6.9506   -228.7405    -67.7729
      0.415      205.0      8.3272   -215.2275    -62.5558
      0.415      210.0      9.3750   -198.2867    -56.4757
      0.415      215.0     10.6352   -177.2097    -48.9404
      0.415      220.0     12.2953   -156.1817    -41.1493
      0.415      225.0     13.6633   -135.6413    -33.7110
      0.415      230.0     14.5505   -115.2581    -26.6488
      0.415      235.0     15.0622    -95.0008    -19.8816
      0.415      240.0     15.4294    -75.0572    -13.3118
      0.415      245.0     15.7698    -55.9383     -7.0217
      0.415      250.0     16.1758    -38.7088     -1.2858
      0.415      255.0     16.6885    -24.0789      3.6988
      0.415      260.0     17.1770    -12.0836      7.8320
      0.415      265.0     17.5336     -2.4811     11.1172
      0.415      270.0     17.7682      5.1841     13.7058
      0.415      275.0     17.9394     11.4286     15.8010
      0.415      280.0     18.0914     16.5034     17.5124
      0.415      285.0     18.2320     20.4434     18.8565
      0.415      290.0     18.3487     23.2973     19.8402
      0.415      295.0     18.4367     25.2285     20.5120
      0.415      300.0     18.5043     26.4725     20.9521
      0.415      305.0     18.5596     27.2652     21.2409
      0.415      310.0     18.6033     27.7756     21.4323
      0.415      315.0     18.6351     28.1070     21.5590
      0.415      320.0     18.6610     28.3417     21.6509
      0.415      325.0     18.6816     28.4964     21.7139
      0.415      330.0     18.6921     28.5787     21.7471
      0.415      335.0     18.6937     28.6032     21.7560
      0.415      340.0     18.6938     28.6050     21.7566
      0.415      345.0     18.6938     28.6050     21.7566
      0.415      350.0     18.6938     28.6050     21.7566
      0.415      355.0     18.6938     28.6050     21.7566
      0.415      360.0     18.6938     28.6050     21.7566
      0.415      365.0     18.6938     28.6050     21.7566
      0.415      370.0     18.6938     28.6050     21.7566
      0.415      375.0     18.6938     28.6050     21.7566
      0.415      380.0     18.6938     28.6050     21.7566
      0.415      385.0     18.6938     28.6050     21.7566
      0.415      390.0     18.6938     28.6050     21.7566
      0.415      395.0     18.6938     28.6050     21.7566
      0.415      400.0     18.6938     28.6050     21.7566
      0.420      200.0      5.6593   -239.7382    -72.1349
      0.420      205.0      7.2265   -226.1915    -66.7778
      0.420      210.0      8.6060   -212.4485    -61.4858
      0.420      215.0      9.6386   -194.6299    -55.1378
      0.420      220.0     11.0048   -173.3340    -47.4612
      0.420      225.0     12.6174   -152.2784    -39.6936
      0.420      230.0     13.8647   -131.7000    -32.3252
      0.420      235.0     14.6493   -111.2989    -25.3270
      0.420      240.0     15.1127    -91.0835    -18.6058
      0.420      245.0     15.4755    -71.2703    -12.0805
      0.420      250.0     15.8148    -52.4446     -5.8839
      0.420      255.0     16.2528    -35.7493     -0.2955
      0.420      260.0     16.7772    -21.6649      4.5240
      0.420      265.0     17.2502    -10.1505      8.4943
      0.420      270.0     17.5865     -0.9462     11.6396
      0.420      275.0     17.8076      6.4027     14.1187
      0.420      280.0     17.9728     12.4008     16.1317
      0.420      285.0     18.1216     17.2744     17.7773
      0.420      290.0     18.2588     21.0500     19.0670
      0.420      295.0     18.3715     23.7726     20.0063
      0.420      300.0     18.4564     25.6000     20.6431
      0.420      305.0     18.5223     26.7719     21.0592
      0.420      310.0     18.5758     27.5047     21.3278
      0.420      315.0     18.6165     27.9634     21.5008
      0.420      320.0     18.6463     28.2664     21.6170
      0.420      325.0     18.6713     28.4807     21.7020
      0.420      330.0     18.6908     28.6259     21.7612
      0.420      335.0     18.6997     28.6980     21.7901
      0.420      340.0     18.7009     28.7184     21.7973
      0.420      345.0     18.7009     28.7196     21.7977
      0.420      350.0     18.7009     28.7196     21.7977
      0.420      355.0     18.7009     28.7196     21.7977
      0.420      360.0     18.7009     28.7196     21.7977
      0.420      365.0     18.7009     28.7196     21.7977
      0.420      370.0     18.7009     28.7196     21.7977
      0.420      375.0     18.7009     28.7196     21.7977
