Star: CS29497;    Mass table: hfb24
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0     11.6192   -177.6996    -48.4276
      0.400      205.0     11.9463   -162.1369    -43.2736
      0.400      210.0     12.4886   -141.4843    -36.3602
      0.400      215.0     13.2222   -121.8931    -29.6534
      0.400      220.0     13.8574   -101.7817    -22.8485
      0.400      225.0     14.4106    -78.6057    -15.1281
      0.400      230.0     14.8599    -53.0398     -6.7208
      0.400      235.0     15.0853    -30.7557      0.4944
      0.400      240.0     15.2769    -14.5770      5.7518
      0.400      245.0     15.5106     -3.0575      9.5612
      0.400      250.0     15.7555      5.4418     12.4210
      0.400      255.0     15.9789     11.8380     14.5997
      0.400      260.0     16.1627     16.6449     16.2479
      0.400      265.0     16.3041     20.2113     17.4741
      0.400      270.0     16.4121     22.8068     18.3700
      0.400      275.0     16.5007     24.6397     19.0110
      0.400      280.0     16.5821     25.8763     19.4582
      0.400      285.0     16.6633     26.6692     19.7646
      0.400      290.0     16.7402     27.1464     19.9681
      0.400      295.0     16.8000     27.4153     20.0939
      0.400      300.0     16.8410     27.5611     20.1679
      0.400      305.0     16.8684     27.6421     20.2122
      0.400      310.0     16.8835     27.6892     20.2374
      0.400      315.0     16.8897     27.7146     20.2497
      0.400      320.0     16.8911     27.7251     20.2539
      0.400      325.0     16.8910     27.7270     20.2545
      0.400      330.0     16.8911     27.7282     20.2549
      0.400      335.0     16.8914     27.7297     20.2555
      0.400      340.0     16.8914     27.7297     20.2555
      0.400      345.0     16.8914     27.7297     20.2555
      0.400      350.0     16.8914     27.7297     20.2555
      0.400      355.0     16.8914     27.7297     20.2555
      0.400      360.0     16.8914     27.7297     20.2555
      0.400      365.0     16.8914     27.7297     20.2555
      0.400      370.0     16.8914     27.7297     20.2555
      0.400      375.0     16.8914     27.7297     20.2555
      0.400      380.0     16.8914     27.7297     20.2555
      0.400      385.0     16.8914     27.7297     20.2555
      0.400      390.0     16.8914     27.7297     20.2555
      0.400      395.0     16.8914     27.7297     20.2555
      0.400      400.0     16.8914     27.7297     20.2555
      0.405      200.0     11.1944   -185.5779    -51.2128
      0.405      205.0     11.7084   -175.2135    -47.5792
      0.405      210.0     12.0197   -158.1898    -41.9728
      0.405      215.0     12.6350   -137.5066    -35.0002
      0.405      220.0     13.3576   -117.9835    -28.3224
      0.405      225.0     13.9582    -97.4064    -21.3935
      0.405      230.0     14.4843    -73.5286    -13.4690
      0.405      235.0     14.8958    -48.1805     -5.1565
      0.405      240.0     15.1138    -27.1083      1.6697
      0.405      245.0     15.3244    -11.9999      6.6008
      0.405      250.0     15.5681     -1.1847     10.1937
      0.405      255.0     15.8101      6.8385     12.9007
      0.405      260.0     16.0231     12.8938     14.9643
      0.405      265.0     16.1945     17.4513     16.5250
      0.405      270.0     16.3251     20.8356     17.6863
      0.405      275.0     16.4260     23.2970     18.5348
      0.405      280.0     16.5107     25.0290     19.1412
      0.405      285.0     16.5904     26.1922     19.5640
      0.405      290.0     16.6709     26.9337     19.8536
      0.405      295.0     16.7458     27.3762     20.0447
      0.405      300.0     16.8024     27.6238     20.1616
      0.405      305.0     16.8412     27.7575     20.2302
      0.405      310.0     16.8667     27.8321     20.2712
      0.405      315.0     16.8803     27.8755     20.2942
      0.405      320.0     16.8857     27.8987     20.3052
      0.405      325.0     16.8867     27.9077     20.3087
      0.405      330.0     16.8866     27.9091     20.3092
      0.405      335.0     16.8868     27.9107     20.3098
      0.405      340.0     16.8869     27.9116     20.3102
      0.405      345.0     16.8869     27.9116     20.3102
      0.405      350.0     16.8869     27.9116     20.3102
      0.405      355.0     16.8869     27.9116     20.3102
      0.405      360.0     16.8869     27.9116     20.3102
      0.405      365.0     16.8869     27.9116     20.3102
      0.405      370.0     16.8869     27.9116     20.3102
      0.405      375.0     16.8869     27.9116     20.3102
      0.405      380.0     16.8869     27.9116     20.3102
      0.405      385.0     16.8869     27.9116     20.3102
      0.405      390.0     16.8869     27.9116     20.3102
      0.405      395.0     16.8869     27.9116     20.3102
      0.405      400.0     16.8869     27.9116     20.3102
      0.410      200.0     10.6509   -191.9458    -53.5999
      0.410      205.0     11.3210   -183.7743    -50.5553
      0.410      210.0     11.7898   -172.5102    -46.6673
      0.410      215.0     12.1114   -154.1651    -40.6351
      0.410      220.0     12.7833   -133.6312    -33.6714
      0.410      225.0     13.4829   -114.0876    -27.0027
      0.410      230.0     14.0455    -92.9597    -19.9250
      0.410      235.0     14.5516    -68.4839    -11.8246
      0.410      240.0     14.9303    -43.6125     -3.6854
      0.410      245.0     15.1511    -23.7752      2.7513
      0.410      250.0     15.3794     -9.6424      7.3852
      0.410      255.0     15.6283      0.5359     10.7799
      0.410      260.0     15.8641      8.1251     13.3451
      0.410      265.0     16.0652     13.8677     15.3015
      0.410      270.0     16.2239     18.1959     16.7810
      0.410      275.0     16.3444     21.4122     17.8821
      0.410      280.0     16.4387     23.7485     18.6865
      0.410      285.0     16.5199     25.3852     19.2604
      0.410      290.0     16.5983     26.4795     19.6604
      0.410      295.0     16.6781     27.1735     19.9344
      0.410      300.0     16.7506     27.5841     20.1138
      0.410      305.0     16.8043     27.8122     20.2225
      0.410      310.0     16.8409     27.9349     20.2863
