Star: CS29497;    Mass table: ws4
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      9.3319   -108.0774    -27.9161
      0.400      205.0     10.3346    -92.2499    -22.2194
      0.400      210.0     11.2944    -77.4865    -16.8890
      0.400      215.0     12.1823    -63.3609    -11.8096
      0.400      220.0     12.9735    -49.5159     -6.8847
      0.400      225.0     13.6931    -35.8201     -2.0557
      0.400      230.0     14.3541    -22.0303      2.7632
      0.400      235.0     15.1296     -9.9932      7.1045
      0.400      240.0     15.7340     -0.4376     10.5431
      0.400      245.0     16.1467      7.2369     13.2555
      0.400      250.0     16.4622     13.4939     15.4526
      0.400      255.0     16.7286     18.6071     17.2539
      0.400      260.0     16.9572     22.7578     18.7245
      0.400      265.0     17.1515     26.0903     19.9125
      0.400      270.0     17.3168     28.7311     20.8617
      0.400      275.0     17.4583     30.7983     21.6129
      0.400      280.0     17.5805     32.4128     22.2076
      0.400      285.0     17.6910     33.6517     22.6752
      0.400      290.0     17.7710     34.4998     22.9983
      0.400      295.0     17.8248     35.0742     23.2169
      0.400      300.0     17.8667     35.4919     23.3776
      0.400      305.0     17.9011     35.8027     23.4995
      0.400      310.0     17.9286     36.0229     23.5880
      0.400      315.0     17.9484     36.1631     23.6458
      0.400      320.0     17.9605     36.2401     23.6784
      0.400      325.0     17.9663     36.2750     23.6935
      0.400      330.0     17.9687     36.2894     23.6997
      0.400      335.0     17.9694     36.2930     23.7012
      0.400      340.0     17.9694     36.2930     23.7012
      0.400      345.0     17.9694     36.2930     23.7012
      0.400      350.0     17.9694     36.2930     23.7012
      0.400      355.0     17.9694     36.2930     23.7012
      0.400      360.0     17.9694     36.2930     23.7012
      0.400      365.0     17.9694     36.2930     23.7012
      0.400      370.0     17.9694     36.2930     23.7012
      0.400      375.0     17.9694     36.2930     23.7012
      0.400      380.0     17.9694     36.2930     23.7012
      0.400      385.0     17.9693     36.2930     23.7012
      0.400      390.0     17.9693     36.2930     23.7012
      0.400      395.0     17.9693     36.2930     23.7012
      0.400      400.0     17.9693     36.2930     23.7012
      0.405      200.0      8.3262   -122.5555    -33.1872
      0.405      205.0      9.4534   -105.1736    -26.9133
      0.405      210.0     10.4884    -89.4931    -21.2413
      0.405      215.0     11.4598    -74.8814    -15.9511
      0.405      220.0     12.3336    -60.8588    -10.9138
      0.405      225.0     13.1016    -47.0976     -6.0313
      0.405      230.0     13.8106    -33.4575     -1.2272
      0.405      235.0     14.4802    -19.8139      3.5513
      0.405      240.0     15.2424     -8.1814      7.7552
      0.405      245.0     15.8116      1.0444     11.0655
      0.405      250.0     16.2053      8.4753     13.6877
      0.405      255.0     16.5135     14.5435     15.8201
      0.405      260.0     16.7754     19.5032     17.5697
      0.405      265.0     16.9995     23.5268     18.9970
      0.405      270.0     17.1896     26.7546     20.1490
      0.405      275.0     17.3513     29.3107     21.0688
      0.405      280.0     17.4892     31.3113     21.7965
      0.405      285.0     17.6086     32.8753     22.3732
      0.405      290.0     17.7153     34.0653     22.8228
      0.405      295.0     17.7911     34.8758     23.1310
      0.405      300.0     17.8427     35.4286     23.3413
      0.405      305.0     17.8834     35.8327     23.4970
      0.405      310.0     17.9170     36.1333     23.6151
      0.405      315.0     17.9438     36.3455     23.7005
      0.405      320.0     17.9629     36.4798     23.7560
      0.405      325.0     17.9743     36.5525     23.7868
      0.405      330.0     17.9793     36.5827     23.7998
      0.405      335.0     17.9814     36.5947     23.8050
      0.405      340.0     17.9814     36.5951     23.8051
      0.405      345.0     17.9814     36.5951     23.8051
      0.405      350.0     17.9814     36.5951     23.8051
      0.405      355.0     17.9814     36.5951     23.8051
      0.405      360.0     17.9814     36.5951     23.8051
      0.405      365.0     17.9814     36.5951     23.8051
      0.405      370.0     17.9814     36.5951     23.8051
      0.405      375.0     17.9814     36.5951     23.8051
      0.405      380.0     17.9814     36.5951     23.8051
      0.405      385.0     17.9814     36.5951     23.8051
      0.405      390.0     17.9814     36.5951     23.8051
      0.405      395.0     17.9814     36.5951     23.8051
      0.405      400.0     17.9814     36.5951     23.8051
      0.410      200.0      7.1342   -139.2455    -39.2858
      0.410      205.0      8.4486   -119.4689    -32.1259
      0.410      210.0      9.5894   -102.2971    -25.9094
      0.410      215.0     10.6542    -86.7862    -20.2709
      0.410      220.0     11.6272    -72.3210    -15.0261
      0.410      225.0     12.4782    -58.3953    -10.0350
      0.410      230.0     13.2264    -44.7275     -5.1955
      0.410      235.0     13.9242    -31.1343     -0.4139
      0.410      240.0     14.6071    -17.6885      4.3110
      0.410      245.0     15.3479     -6.4523      8.3748
      0.410      250.0     15.8843      2.4613     11.5639
      0.410      255.0     16.2620      9.6606     14.1019
      0.410      260.0     16.5638     15.5482     16.1726
      0.410      265.0     16.8211     20.3604     17.8724
      0.410      270.0     17.0407     24.2624     19.2580
      0.410      275.0     17.2266     27.3906     20.3757
      0.410      280.0     17.3846     29.8662     21.2675
      0.410      285.0     17.5191     31.8035     21.9727
      0.410      290.0     17.6355     33.3185     22.5319
      0.410      295.0     17.7383     34.4618     22.9641
      0.410      300.0     17.8102     35.2378     23.2588
      0.410      305.0     17.8601     35.7707     23.4615
      0.410      310.0     17.8996     36.1620     23.6124
      0.410      315.0     17.9325     36.4530     23.7269
      0.410      320.0     17.9585     36.6576     23.8094
      0.410      325.0     17.9767     36.7839     23.8618
      0.410      330.0     17.9865     36.8455     23.8880
      0.410      335.0     17.9907     36.8711     23.8990
      0.410      340.0     17.9925     36.8816     23.9035
      0.410      345.0     17.9925     36.8816     23.9035
      0.410      350.0     17.9925     36.8816     23.9035
      0.410      355.0     17.9925     36.8816     23.9035
      0.410      360.0     17.9925     36.8816     23.9035
      0.410      365.0     17.9925     36.8816     23.9035
      0.410      370.0     17.9925     36.8816     23.9035
      0.410      375.0     17.9925     36.8816     23.9035
      0.410      380.0     17.9925     36.8816     23.9035
      0.410      385.0     17.9925     36.8816     23.9035
      0.410      390.0     17.9925     36.8816     23.9035
      0.410      395.0     17.9925     36.8816     23.9035
      0.410      400.0     17.9925     36.8816     23.9035
      0.415      200.0      5.7943   -159.7837    -46.7043
      0.415      205.0      7.2729   -135.8875    -38.1274
      0.415      210.0      8.5752   -116.4167    -31.0726
      0.415      215.0      9.7450    -99.4454    -24.9000
      0.415      220.0     10.8316    -84.1145    -19.3037
      0.415      225.0     11.7927    -69.8093    -14.1177
      0.415      230.0     12.6153    -55.9845     -9.1779
      0.415      235.0     13.3502    -42.4132     -4.3780
      0.415      240.0     14.0340    -28.8644      0.3801
      0.415      245.0     14.7322    -15.6656      5.0370
      0.415      250.0     15.4466     -4.8116      8.9618
      0.415      255.0     15.9531      3.8077     12.0373
      0.415      260.0     16.3171     10.7887     14.4968
