Star: CS31082;    Mass table: frdm2012
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      8.9248    -78.6004    -18.8507
      0.400      205.0      9.8064    -65.3593    -14.0559
      0.400      210.0     10.4928    -55.1106    -10.3419
      0.400      215.0     11.0375    -46.4016     -7.2121
      0.400      220.0     11.5020    -38.4971     -4.3917
      0.400      225.0     11.9192    -31.0565     -1.7504
      0.400      230.0     12.3074    -23.8865      0.7855
      0.400      235.0     12.6864    -16.8443      3.2746
      0.400      240.0     13.0726     -9.9777      5.7129
      0.400      245.0     13.4520     -3.4860      8.0278
      0.400      250.0     13.7918      2.5379     10.1676
      0.400      255.0     14.0911      7.9490     12.0856
      0.400      260.0     14.3256     12.4527     13.6721
      0.400      265.0     14.4911     15.9803     14.9024
      0.400      270.0     14.6105     18.6544     15.8309
      0.400      275.0     14.7063     20.6295     16.5219
      0.400      280.0     14.7912     22.0323     17.0241
      0.400      285.0     14.8698     22.9796     17.3777
      0.400      290.0     14.9428     23.5938     17.6219
      0.400      295.0     15.0083     23.9875     17.7912
      0.400      300.0     15.0630     24.2384     17.9078
      0.400      305.0     15.1053     24.3986     17.9873
      0.400      310.0     15.1368     24.5062     18.0428
      0.400      315.0     15.1597     24.5816     18.0822
      0.400      320.0     15.1756     24.6348     18.1099
      0.400      325.0     15.1853     24.6692     18.1273
      0.400      330.0     15.1899     24.6849     18.1354
      0.400      335.0     15.1899     24.6849     18.1354
      0.400      340.0     15.1899     24.6849     18.1354
      0.400      345.0     15.1899     24.6848     18.1354
      0.400      350.0     15.1899     24.6848     18.1354
      0.400      355.0     15.1899     24.6848     18.1354
      0.400      360.0     15.1899     24.6848     18.1354
      0.400      365.0     15.1899     24.6848     18.1354
      0.400      370.0     15.1899     24.6848     18.1354
      0.400      375.0     15.1899     24.6848     18.1354
      0.400      380.0     15.1899     24.6847     18.1354
      0.400      385.0     15.1899     24.6847     18.1354
      0.400      390.0     15.1899     24.6847     18.1354
      0.400      395.0     15.1899     24.6846     18.1354
      0.400      400.0     15.1899     24.6846     18.1354
      0.405      200.0      8.1997    -93.0710    -23.9290
      0.405      205.0      9.1010    -75.2805    -17.6790
      0.405      210.0      9.9589    -62.6377    -13.0898
      0.405      215.0     10.6194    -52.7166     -9.4973
      0.405      220.0     11.1498    -44.1994     -6.4379
