Star: HE1523;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      5.6851   -189.9338    -56.3335
      0.400      205.0      7.2337   -168.9441    -48.6302
      0.400      210.0      8.8967   -148.5755    -41.0460
      0.400      215.0     10.1489   -128.4531    -33.8189
      0.400      220.0     10.9192   -108.2306    -26.8870
      0.400      225.0     11.3553    -88.0121    -20.1834
      0.400      230.0     11.6982    -68.2718    -13.6946
      0.400      235.0     12.0527    -49.6926     -7.5658
      0.400      240.0     12.4920    -33.3295     -2.0819
      0.400      245.0     13.0018    -19.6977      2.5844
      0.400      250.0     13.4254     -8.7198      6.3510
      0.400      255.0     13.7112      0.0380      9.3206
      0.400      260.0     13.9094      7.1307     11.7029
      0.400      265.0     14.0739     12.8986     13.6425
      0.400      270.0     14.2238     17.4084     15.1736
      0.400      275.0     14.3523     20.7185     16.3098
      0.400      280.0     14.4512     22.9996     17.0999
      0.400      285.0     14.5255     24.4937     17.6238
      0.400      290.0     14.5855     25.4446     17.9659
      0.400      295.0     14.6344     26.0482     18.1904
      0.400      300.0     14.6709     26.4369     18.3383
      0.400      305.0     14.6987     26.6997     18.4405
      0.400      310.0     14.7222     26.8847     18.5151
      0.400      315.0     14.7374     26.9965     18.5608
      0.400      320.0     14.7414     27.0394     18.5771
      0.400      325.0     14.7416     27.0495     18.5805
      0.400      330.0     14.7416     27.0495     18.5805
      0.400      335.0     14.7416     27.0495     18.5805
      0.400      340.0     14.7416     27.0495     18.5805
      0.400      345.0     14.7416     27.0495     18.5805
      0.400      350.0     14.7416     27.0495     18.5805
      0.400      355.0     14.7416     27.0495     18.5805
      0.400      360.0     14.7416     27.0495     18.5805
      0.400      365.0     14.7416     27.0495     18.5805
      0.400      370.0     14.7416     27.0495     18.5805
      0.400      375.0     14.7416     27.0495     18.5805
      0.400      380.0     14.7416     27.0495     18.5805
      0.400      385.0     14.7416     27.0495     18.5805
      0.400      390.0     14.7416     27.0495     18.5805
      0.400      395.0     14.7416     27.0495     18.5805
      0.400      400.0     14.7416     27.0495     18.5805
      0.405      200.0      4.9903   -206.2568    -61.9782
      0.405      205.0      5.9998   -185.9862    -54.8688
      0.405      210.0      7.6287   -165.0024    -47.1129
      0.405      215.0      9.2160   -144.5812    -39.5634
      0.405      220.0     10.3411   -124.3459    -32.3867
      0.405      225.0     11.0098   -104.0698    -25.5069
      0.405      230.0     11.4049    -83.9167    -18.8518
      0.405      235.0     11.7505    -64.3601    -12.4194
      0.405      240.0     12.1129    -46.1701     -6.4086
      0.405      245.0     12.5815    -30.3820     -1.0870
      0.405      250.0     13.0904    -17.3244      3.3967
      0.405      255.0     13.4913     -6.8345      6.9933
      0.405      260.0     13.7583      1.5347      9.8269
      0.405      265.0     13.9460      8.3267     12.1068
      0.405      270.0     14.1056     13.8493     13.9654
      0.405      275.0     14.2525     18.1561     15.4300
      0.405      280.0     14.3772     21.3031     16.5120
      0.405      285.0     14.4722     23.4585     17.2596
      0.405      290.0     14.5440     24.8616     17.7529
      0.405      295.0     14.6023     25.7540     18.0754
      0.405      300.0     14.6495     26.3229     18.2877
      0.405      305.0     14.6844     26.6923     18.4284
      0.405      310.0     14.7115     26.9451     18.5269
      0.405      315.0     14.7343     27.1236     18.5990
      0.405      320.0     14.7487     27.2300     18.6425
      0.405      325.0     14.7522     27.2695     18.6574
      0.405      330.0     14.7521     27.2763     18.6595
      0.405      335.0     14.7521     27.2763     18.6595
      0.405      340.0     14.7521     27.2763     18.6595
      0.405      345.0     14.7521     27.2763     18.6595
      0.405      350.0     14.7521     27.2763     18.6595
      0.405      355.0     14.7521     27.2763     18.6595
      0.405      360.0     14.7521     27.2763     18.6595
      0.405      365.0     14.7521     27.2763     18.6595
      0.405      370.0     14.7521     27.2763     18.6595
      0.405      375.0     14.7521     27.2763     18.6595
      0.405      380.0     14.7521     27.2763     18.6595
      0.405      385.0     14.7521     27.2763     18.6595
      0.405      390.0     14.7521     27.2763     18.6595
      0.405      395.0     14.7521     27.2763     18.6595
      0.405      400.0     14.7521     27.2763     18.6595
      0.410      200.0      4.1378   -218.8755    -66.5561
      0.410      205.0      5.2111   -202.8028    -60.7337
      0.410      210.0      6.3461   -182.0450    -53.3847
      0.410      215.0      8.0135   -161.0406    -45.5961
      0.410      220.0      9.4969   -140.5752    -38.1032
      0.410      225.0     10.4988   -120.2545    -30.9830
      0.410      230.0     11.0804    -99.9638    -24.1577
      0.410      235.0     11.4547    -79.9040    -17.5463
      0.410      240.0     11.7996    -60.5466    -11.1775
      0.410      245.0     12.1791    -42.8123     -5.2995
      0.410      250.0     12.6732    -27.6081     -0.1456
      0.410      255.0     13.1743    -15.0977      4.1593
      0.410      260.0     13.5526     -5.0660      7.5954
      0.410      265.0     13.8026      2.9383     10.3018
      0.410      270.0     13.9814      9.4476     12.4860
      0.410      275.0     14.1368     14.7391     14.2685
      0.410      280.0     14.2806     18.8557     15.6708
      0.410      285.0     14.4014     21.8499     16.7017
      0.410      290.0     14.4927     23.8877     17.4095
      0.410      295.0     14.5623     25.2078     17.8751
      0.410      300.0     14.6191     26.0475     18.1798
      0.410      305.0     14.6645     26.5856     18.3811
      0.410      310.0     14.6979     26.9377     18.5154
      0.410      315.0     14.7244     27.1817     18.6107
      0.410      320.0     14.7467     27.3542     18.6805
      0.410      325.0     14.7598     27.4529     18.7207
      0.410      330.0     14.7620     27.4827     18.7317
      0.410      335.0     14.7621     27.4855     18.7326
      0.410      340.0     14.7621     27.4855     18.7326
      0.410      345.0     14.7621     27.4855     18.7326
      0.410      350.0     14.7621     27.4855     18.7326
      0.410      355.0     14.7621     27.4855     18.7326
      0.410      360.0     14.7621     27.4855     18.7326
      0.410      365.0     14.7621     27.4855     18.7326
      0.410      370.0     14.7621     27.4855     18.7326
      0.410      375.0     14.7621     27.4855     18.7326
      0.410      380.0     14.7621     27.4855     18.7326
      0.410      385.0     14.7621     27.4855     18.7326
      0.410      390.0     14.7621     27.4855     18.7326
      0.410      395.0     14.7621     27.4855     18.7326
      0.410      400.0     14.7621     27.4855     18.7326
      0.415      200.0      3.0266   -229.6745    -70.7329
      0.415      205.0      4.4032   -216.1615    -65.5158
