Star: HE1523;    Mass table: frdm2012
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      7.1808    -61.6295    -14.6563
      0.400      205.0      8.0624    -49.6124    -10.2495
      0.400      210.0      8.7488    -40.4812     -6.8896
      0.400      215.0      9.2935    -32.8384     -4.0977
      0.400      220.0      9.7580    -25.9791     -1.6085
      0.400      225.0     10.1752    -19.5664      0.7070
      0.400      230.0     10.5634    -13.3841      2.9299
      0.400      235.0     10.9424     -7.2311      5.1372
      0.400      240.0     11.3286     -1.0924      7.3448
      0.400      245.0     11.7080      4.8570      9.4878
      0.400      250.0     12.0478     10.5089     11.5097
      0.400      255.0     12.3471     15.6812     13.3520
      0.400      260.0     12.5816     20.0434     14.8937
      0.400      265.0     12.7471     23.4972     16.1006
      0.400      270.0     12.8665     26.1421     17.0199
      0.400      275.0     12.9623     28.1143     17.7100
      0.400      280.0     13.0472     29.5276     18.2155
      0.400      285.0     13.1258     30.4898     18.5738
      0.400      290.0     13.1988     31.1183     18.8225
      0.400      295.0     13.2643     31.5235     18.9955
      0.400      300.0     13.3190     31.7829     19.1148
      0.400      305.0     13.3613     31.9492     19.1962
      0.400      310.0     13.3928     32.0612     19.2531
      0.400      315.0     13.4157     32.1401     19.2936
      0.400      320.0     13.4316     32.1959     19.3221
      0.400      325.0     13.4413     32.2320     19.3401
      0.400      330.0     13.4459     32.2485     19.3485
      0.400      335.0     13.4459     32.2485     19.3485
      0.400      340.0     13.4459     32.2485     19.3485
      0.400      345.0     13.4459     32.2485     19.3485
      0.400      350.0     13.4459     32.2485     19.3485
      0.400      355.0     13.4459     32.2485     19.3485
      0.400      360.0     13.4459     32.2485     19.3485
      0.400      365.0     13.4459     32.2485     19.3485
      0.400      370.0     13.4459     32.2485     19.3485
      0.400      375.0     13.4459     32.2485     19.3485
      0.400      380.0     13.4459     32.2485     19.3485
      0.400      385.0     13.4459     32.2485     19.3485
      0.400      390.0     13.4459     32.2485     19.3485
      0.400      395.0     13.4459     32.2485     19.3485
      0.400      400.0     13.4459     32.2485     19.3485
      0.405      200.0      6.4557    -74.8643    -19.3430
      0.405      205.0      7.3570    -58.4598    -13.5322
      0.405      210.0      8.2149    -47.0301     -9.3276
      0.405      215.0      8.8754    -38.2241     -6.0884
      0.405      220.0      9.4058    -30.7760     -3.3679
      0.405      225.0      9.8640    -24.0506     -0.9254
      0.405      230.0     10.2778    -17.7442      1.3542
      0.405      235.0     10.6645    -11.6353      3.5527
      0.405      240.0     11.0457     -5.5401      5.7432
      0.405      245.0     11.4342      0.5154      7.9260
      0.405      250.0     11.8064      6.3501     10.0278
      0.405      255.0     12.1335     11.8648     11.9976
      0.405      260.0     12.4138     16.8488     13.7674
      0.405      265.0     12.6286     21.0191     15.2348
