Star: HE1523;    Mass table: hfb24
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      7.6952   -178.6336    -51.3876
      0.400      205.0      8.0223   -163.0709    -46.2336
      0.400      210.0      8.5646   -142.4183    -39.3202
      0.400      215.0      9.2982   -122.8271    -32.6134
      0.400      220.0      9.9334   -102.7157    -25.8085
      0.400      225.0     10.4866    -79.5397    -18.0881
      0.400      230.0     10.9359    -53.9738     -9.6808
      0.400      235.0     11.1613    -31.6897     -2.4656
      0.400      240.0     11.3529    -15.5110      2.7918
      0.400      245.0     11.5866     -3.9915      6.6012
      0.400      250.0     11.8315      4.5078      9.4610
      0.400      255.0     12.0549     10.9040     11.6397
      0.400      260.0     12.2387     15.7109     13.2879
      0.400      265.0     12.3801     19.2773     14.5141
      0.400      270.0     12.4881     21.8728     15.4100
      0.400      275.0     12.5767     23.7057     16.0510
      0.400      280.0     12.6581     24.9423     16.4982
      0.400      285.0     12.7393     25.7352     16.8046
      0.400      290.0     12.8162     26.2124     17.0081
      0.400      295.0     12.8760     26.4813     17.1339
      0.400      300.0     12.9170     26.6271     17.2079
      0.400      305.0     12.9444     26.7081     17.2522
      0.400      310.0     12.9595     26.7552     17.2774
      0.400      315.0     12.9657     26.7806     17.2897
      0.400      320.0     12.9671     26.7911     17.2939
      0.400      325.0     12.9670     26.7930     17.2945
      0.400      330.0     12.9671     26.7942     17.2949
      0.400      335.0     12.9674     26.7957     17.2955
      0.400      340.0     12.9674     26.7957     17.2955
      0.400      345.0     12.9674     26.7957     17.2955
      0.400      350.0     12.9674     26.7957     17.2955
      0.400      355.0     12.9674     26.7957     17.2955
      0.400      360.0     12.9674     26.7957     17.2955
      0.400      365.0     12.9674     26.7957     17.2955
      0.400      370.0     12.9674     26.7957     17.2955
      0.400      375.0     12.9674     26.7957     17.2955
      0.400      380.0     12.9674     26.7957     17.2955
      0.400      385.0     12.9674     26.7957     17.2955
      0.400      390.0     12.9674     26.7957     17.2955
      0.400      395.0     12.9674     26.7957     17.2955
      0.400      400.0     12.9674     26.7957     17.2955
      0.405      200.0      7.2704   -186.5119    -54.1728
      0.405      205.0      7.7844   -176.1475    -50.5392
      0.405      210.0      8.0957   -159.1238    -44.9328
      0.405      215.0      8.7110   -138.4406    -37.9602
      0.405      220.0      9.4336   -118.9175    -31.2824
      0.405      225.0     10.0342    -98.3404    -24.3535
      0.405      230.0     10.5603    -74.4626    -16.4290
      0.405      235.0     10.9718    -49.1145     -8.1165
      0.405      240.0     11.1898    -28.0423     -1.2903
      0.405      245.0     11.4004    -12.9339      3.6408
      0.405      250.0     11.6441     -2.1187      7.2337
      0.405      255.0     11.8861      5.9045      9.9407
      0.405      260.0     12.0991     11.9598     12.0043
      0.405      265.0     12.2705     16.5173     13.5650
      0.405      270.0     12.4011     19.9016     14.7263
      0.405      275.0     12.5020     22.3630     15.5748
      0.405      280.0     12.5867     24.0950     16.1812
      0.405      285.0     12.6664     25.2582     16.6040
      0.405      290.0     12.7469     25.9997     16.8936
      0.405      295.0     12.8218     26.4422     17.0847
      0.405      300.0     12.8784     26.6898     17.2016
      0.405      305.0     12.9172     26.8235     17.2702
      0.405      310.0     12.9427     26.8981     17.3112
      0.405      315.0     12.9563     26.9415     17.3342
      0.405      320.0     12.9617     26.9647     17.3452
      0.405      325.0     12.9627     26.9737     17.3487
      0.405      330.0     12.9626     26.9751     17.3492
      0.405      335.0     12.9628     26.9767     17.3498
      0.405      340.0     12.9629     26.9776     17.3502
      0.405      345.0     12.9629     26.9776     17.3502
      0.405      350.0     12.9629     26.9776     17.3502
      0.405      355.0     12.9629     26.9776     17.3502
      0.405      360.0     12.9629     26.9776     17.3502
      0.405      365.0     12.9629     26.9776     17.3502
      0.405      370.0     12.9629     26.9776     17.3502
      0.405      375.0     12.9629     26.9776     17.3502
      0.405      380.0     12.9629     26.9776     17.3502
      0.405      385.0     12.9629     26.9776     17.3502
      0.405      390.0     12.9629     26.9776     17.3502
      0.405      395.0     12.9629     26.9776     17.3502
