Star: HE1523;    Mass table: ws4
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      5.4079   -109.0114    -30.8761
      0.400      205.0      6.4106    -93.1839    -25.1794
      0.400      210.0      7.3704    -78.4205    -19.8490
      0.400      215.0      8.2583    -64.2949    -14.7696
      0.400      220.0      9.0495    -50.4499     -9.8447
      0.400      225.0      9.7691    -36.7541     -5.0157
      0.400      230.0     10.4301    -22.9643     -0.1968
      0.400      235.0     11.2056    -10.9272      4.1445
      0.400      240.0     11.8100     -1.3716      7.5831
      0.400      245.0     12.2227      6.3029     10.2955
      0.400      250.0     12.5382     12.5599     12.4926
      0.400      255.0     12.8046     17.6731     14.2939
      0.400      260.0     13.0332     21.8238     15.7645
      0.400      265.0     13.2275     25.1563     16.9525
      0.400      270.0     13.3928     27.7971     17.9017
      0.400      275.0     13.5343     29.8643     18.6529
      0.400      280.0     13.6565     31.4788     19.2476
      0.400      285.0     13.7670     32.7177     19.7152
      0.400      290.0     13.8470     33.5658     20.0383
      0.400      295.0     13.9008     34.1402     20.2569
      0.400      300.0     13.9427     34.5579     20.4176
      0.400      305.0     13.9771     34.8687     20.5395
      0.400      310.0     14.0046     35.0889     20.6280
      0.400      315.0     14.0244     35.2291     20.6858
      0.400      320.0     14.0365     35.3061     20.7184
      0.400      325.0     14.0423     35.3410     20.7335
      0.400      330.0     14.0447     35.3554     20.7397
      0.400      335.0     14.0454     35.3590     20.7412
      0.400      340.0     14.0454     35.3590     20.7412
      0.400      345.0     14.0454     35.3590     20.7412
      0.400      350.0     14.0454     35.3590     20.7412
      0.400      355.0     14.0454     35.3590     20.7412
      0.400      360.0     14.0454     35.3590     20.7412
      0.400      365.0     14.0454     35.3590     20.7412
      0.400      370.0     14.0454     35.3590     20.7412
      0.400      375.0     14.0454     35.3590     20.7412
      0.400      380.0     14.0454     35.3590     20.7412
      0.400      385.0     14.0453     35.3590     20.7412
      0.400      390.0     14.0453     35.3590     20.7412
      0.400      395.0     14.0453     35.3590     20.7412
      0.400      400.0     14.0453     35.3590     20.7412
      0.405      200.0      4.4022   -123.4895    -36.1472
      0.405      205.0      5.5294   -106.1076    -29.8733
      0.405      210.0      6.5644    -90.4271    -24.2013
      0.405      215.0      7.5358    -75.8154    -18.9111
      0.405      220.0      8.4096    -61.7928    -13.8738
      0.405      225.0      9.1776    -48.0316     -8.9913
      0.405      230.0      9.8866    -34.3915     -4.1872
      0.405      235.0     10.5562    -20.7479      0.5913
      0.405      240.0     11.3184     -9.1154      4.7952
      0.405      245.0     11.8876      0.1104      8.1055
      0.405      250.0     12.2813      7.5413     10.7277
      0.405      255.0     12.5895     13.6095     12.8601
      0.405      260.0     12.8514     18.5692     14.6097
      0.405      265.0     13.0755     22.5928     16.0370
      0.405      270.0     13.2656     25.8206     17.1890
      0.405      275.0     13.4273     28.3767     18.1088
      0.405      280.0     13.5652     30.3773     18.8365
      0.405      285.0     13.6846     31.9413     19.4132
      0.405      290.0     13.7913     33.1313     19.8628
      0.405      295.0     13.8671     33.9418     20.1710
      0.405      300.0     13.9187     34.4946     20.3813
      0.405      305.0     13.9594     34.8987     20.5370
      0.405      310.0     13.9930     35.1993     20.6551
      0.405      315.0     14.0198     35.4115     20.7405
      0.405      320.0     14.0389     35.5458     20.7960
      0.405      325.0     14.0503     35.6185     20.8268
      0.405      330.0     14.0553     35.6487     20.8398
      0.405      335.0     14.0574     35.6607     20.8450
      0.405      340.0     14.0574     35.6611     20.8451
      0.405      345.0     14.0574     35.6611     20.8451
      0.405      350.0     14.0574     35.6611     20.8451
      0.405      355.0     14.0574     35.6611     20.8451
      0.405      360.0     14.0574     35.6611     20.8451
      0.405      365.0     14.0574     35.6611     20.8451
      0.405      370.0     14.0574     35.6611     20.8451
      0.405      375.0     14.0574     35.6611     20.8451
      0.405      380.0     14.0574     35.6611     20.8451
      0.405      385.0     14.0574     35.6611     20.8451
