Star: J0954;    Mass table: frdm2012
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      6.3088    -79.6868    -20.9710
      0.400      205.0      7.1904    -67.6698    -16.5641
      0.400      210.0      7.8768    -58.5385    -13.2042
      0.400      215.0      8.4215    -50.8958    -10.4123
      0.400      220.0      8.8860    -44.0364     -7.9232
      0.400      225.0      9.3032    -37.6237     -5.6076
      0.400      230.0      9.6914    -31.4414     -3.3848
      0.400      235.0     10.0704    -25.2884     -1.1775
      0.400      240.0     10.4566    -19.1498      1.0301
      0.400      245.0     10.8360    -13.2004      3.1731
      0.400      250.0     11.1758     -7.5484      5.1950
      0.400      255.0     11.4751     -2.3761      7.0374
      0.400      260.0     11.7096      1.9860      8.5790
      0.400      265.0     11.8751      5.4399      9.7860
      0.400      270.0     11.9945      8.0848     10.7052
      0.400      275.0     12.0903     10.0570     11.3953
      0.400      280.0     12.1752     11.4703     11.9008
      0.400      285.0     12.2538     12.4325     12.2592
      0.400      290.0     12.3268     13.0609     12.5079
      0.400      295.0     12.3923     13.4662     12.6808
      0.400      300.0     12.4470     13.7255     12.8001
      0.400      305.0     12.4893     13.8919     12.8815
      0.400      310.0     12.5208     14.0039     12.9384
      0.400      315.0     12.5437     14.0827     12.9790
      0.400      320.0     12.5596     14.1385     13.0074
      0.400      325.0     12.5693     14.1747     13.0255
      0.400      330.0     12.5739     14.1912     13.0338
      0.400      335.0     12.5739     14.1912     13.0338
      0.400      340.0     12.5739     14.1912     13.0338
      0.400      345.0     12.5739     14.1912     13.0338
      0.400      350.0     12.5739     14.1912     13.0338
      0.400      355.0     12.5739     14.1912     13.0338
      0.400      360.0     12.5739     14.1912     13.0338
      0.400      365.0     12.5739     14.1912     13.0338
      0.400      370.0     12.5739     14.1912     13.0338
      0.400      375.0     12.5739     14.1912     13.0338
      0.400      380.0     12.5739     14.1912     13.0338
      0.400      385.0     12.5739     14.1912     13.0338
      0.400      390.0     12.5739     14.1912     13.0338
      0.400      395.0     12.5739     14.1912     13.0338
      0.400      400.0     12.5739     14.1912     13.0338
      0.405      200.0      5.5837    -92.9216    -25.6576
      0.405      205.0      6.4850    -76.5171    -19.8469
      0.405      210.0      7.3429    -65.0874    -15.6422
      0.405      215.0      8.0034    -56.2815    -12.4030
      0.405      220.0      8.5338    -48.8333     -9.6825
      0.405      225.0      8.9920    -42.1080     -7.2401
      0.405      230.0      9.4058    -35.8015     -4.9605
      0.405      235.0      9.7925    -29.6926     -2.7620
