Star: J2038;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      6.5571   -213.2612    -63.1385
      0.400      205.0      8.1057   -189.9382    -54.6938
      0.400      210.0      9.7687   -167.3377    -46.4003
      0.400      215.0     11.0209   -145.0962    -38.4999
      0.400      220.0     11.7912   -122.8992    -30.9411
      0.400      225.0     12.2273   -100.9121    -23.6763
      0.400      230.0     12.5702    -79.6907    -16.7174
      0.400      235.0     12.9247    -59.9687    -10.2256
      0.400      240.0     13.3640    -42.7744     -4.4775
      0.400      245.0     13.8738    -28.5469      0.3781
      0.400      250.0     14.2974    -17.1384      4.2816
      0.400      255.0     14.5832     -8.0698      7.3500
      0.400      260.0     14.7814     -0.7563      9.8026
      0.400      265.0     14.9459      5.1648     11.7909
      0.400      270.0     15.0958      9.7766     13.3545
      0.400      275.0     15.2243     13.1485     14.5104
      0.400      280.0     15.3232     15.4605     15.3103
      0.400      285.0     15.3975     16.9645     15.8374
      0.400      290.0     15.4575     17.9146     16.1793
      0.400      295.0     15.5064     18.5135     16.4023
      0.400      300.0     15.5429     18.8981     16.5489
      0.400      305.0     15.5707     19.1587     16.6504
      0.400      310.0     15.5942     19.3430     16.7247
      0.400      315.0     15.6094     19.4546     16.7704
      0.400      320.0     15.6134     19.4976     16.7868
      0.400      325.0     15.6136     19.5077     16.7901
      0.400      330.0     15.6136     19.5076     16.7901
      0.400      335.0     15.6136     19.5076     16.7900
      0.400      340.0     15.6136     19.5076     16.7900
      0.400      345.0     15.6136     19.5076     16.7900
      0.400      350.0     15.6136     19.5076     16.7900
      0.400      355.0     15.6136     19.5076     16.7900
      0.400      360.0     15.6136     19.5076     16.7900
      0.400      365.0     15.6136     19.5075     16.7900
      0.400      370.0     15.6136     19.5075     16.7900
      0.400      375.0     15.6136     19.5075     16.7900
      0.400      380.0     15.6136     19.5075     16.7900
      0.400      385.0     15.6136     19.5075     16.7900
      0.400      390.0     15.6136     19.5075     16.7900
      0.400      395.0     15.6136     19.5075     16.7900
      0.400      400.0     15.6136     19.5074     16.7900
      0.405      200.0      5.8623   -231.5229    -69.3982
      0.405      205.0      6.8718   -208.8256    -61.5182
      0.405      210.0      8.5007   -185.5168    -53.0235
      0.405      215.0     10.0880   -162.8740    -44.7681
      0.405      220.0     11.2131   -140.5345    -36.9231
      0.405      225.0     11.8818   -118.3088    -29.4244
      0.405      230.0     12.2769    -96.4282    -22.2212
      0.405      235.0     12.6225    -75.4474    -15.3366
      0.405      240.0     12.9849    -56.1737     -8.9816
      0.405      245.0     13.4535    -39.6013     -3.4107
      0.405      250.0     13.9624    -25.9800      1.2522
      0.405      255.0     14.3633    -15.0811      4.9789
      0.405      260.0     14.6303     -6.4163      7.9065
      0.405      265.0     14.8180      0.5853     10.2530
      0.405      270.0     14.9776      6.2528     12.1577
      0.405      275.0     15.1245     10.6552     13.6528
      0.405      280.0     15.2492     13.8591     14.7529
      0.405      285.0     15.3442     16.0418     15.5092
      0.405      290.0     15.4160     17.4528     16.0051
      0.405      295.0     15.4743     18.3432     16.3269
      0.405      300.0     15.5215     18.9072     16.5376
      0.405      305.0     15.5564     19.2724     16.6771
      0.405      310.0     15.5835     19.5232     16.7750
      0.405      315.0     15.6063     19.7009     16.8468
      0.405      320.0     15.6207     19.8072     16.8902
      0.405      325.0     15.6242     19.8468     16.9052
      0.405      330.0     15.6241     19.8535     16.9073
      0.405      335.0     15.6241     19.8535     16.9072
      0.405      340.0     15.6241     19.8535     16.9072
