Star: J2038;    Mass table: hfb24
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      8.5672   -215.8839    -62.5469
      0.400      205.0      8.8943   -197.3331    -56.4424
      0.400      210.0      9.4366   -173.5648    -48.5391
      0.400      215.0     10.1702   -150.8840    -40.8517
      0.400      220.0     10.8054   -127.8242    -33.1118
      0.400      225.0     11.3586   -101.9433    -24.5342
      0.400      230.0     11.8079    -74.0366    -15.3852
      0.400      235.0     12.0333    -49.8890     -7.5795
      0.400      240.0     12.2249    -32.3296     -1.8844
      0.400      245.0     12.4586    -19.8318      2.2351
      0.400      250.0     12.7035    -10.6580      5.3089
      0.400      255.0     12.9269     -3.8081      7.6315
      0.400      260.0     13.1107      1.2915      9.3726
      0.400      265.0     13.2521      5.0339     10.6547
      0.400      270.0     13.3601      7.7233     11.5804
      0.400      275.0     13.4487      9.5967     12.2343
      0.400      280.0     13.5301     10.8434     12.6846
      0.400      285.0     13.6113     11.6325     12.9898
      0.400      290.0     13.6882     12.1030     13.1912
      0.400      295.0     13.7480     12.3690     13.3161
      0.400      300.0     13.7890     12.5164     13.3906
      0.400      305.0     13.8164     12.5995     13.4356
      0.400      310.0     13.8315     12.6475     13.4610
      0.400      315.0     13.8377     12.6731     13.4734
      0.400      320.0     13.8391     12.6835     13.4776
      0.400      325.0     13.8390     12.6854     13.4781
      0.400      330.0     13.8391     12.6866     13.4785
      0.400      335.0     13.8394     12.6879     13.4792
      0.400      340.0     13.8394     12.6879     13.4792
      0.400      345.0     13.8394     12.6879     13.4792
      0.400      350.0     13.8394     12.6879     13.4792
      0.400      355.0     13.8394     12.6879     13.4792
      0.400      360.0     13.8394     12.6879     13.4792
      0.400      365.0     13.8394     12.6879     13.4792
      0.400      370.0     13.8394     12.6879     13.4792
      0.400      375.0     13.8394     12.6879     13.4792
      0.400      380.0     13.8394     12.6879     13.4792
      0.400      385.0     13.8394     12.6879     13.4792
      0.400      390.0     13.8394     12.6879     13.4792
      0.400      395.0     13.8394     12.6879     13.4792
      0.400      400.0     13.8394     12.6879     13.4791
      0.405      200.0      8.1424   -226.0976    -66.0752
      0.405      205.0      8.6564   -212.9514    -61.5564
      0.405      210.0      8.9677   -192.8723    -54.9782
      0.405      215.0      9.5830   -169.0375    -47.0046
      0.405      220.0     10.3056   -146.4165    -39.3437
      0.405      225.0     10.9062   -122.9072    -31.4851
      0.405      230.0     11.4323    -96.3652    -22.7164
      0.405      235.0     11.8438    -68.7448    -13.6838
      0.405      240.0     12.0618    -45.8903     -6.2929
      0.405      245.0     12.2724    -29.4728     -0.9468
      0.405      250.0     12.5161    -17.7335      2.9391
      0.405      255.0     12.7581     -9.0743      5.8478
      0.405      260.0     12.9711     -2.5929      8.0466
      0.405      265.0     13.1425      2.2376      9.6940
      0.405      270.0     13.2731      5.7838     10.9066
      0.405      275.0     13.3740      8.3297     11.7820
      0.405      280.0     13.4587     10.0968     12.3995
      0.405      285.0     13.5384     11.2673     12.8246
      0.405      290.0     13.6189     12.0040     13.1127
      0.405      295.0     13.6938     12.4399     13.3017
      0.405      300.0     13.7504     12.6852     13.4179
      0.405      305.0     13.7892     12.8208     13.4872
      0.405      310.0     13.8147     12.8974     13.5288
      0.405      315.0     13.8283     12.9416     13.5520
      0.405      320.0     13.8337     12.9649     13.5630
      0.405      325.0     13.8347     12.9738     13.5666
      0.405      330.0     13.8346     12.9751     13.5669
      0.405      335.0     13.8348     12.9767     13.5675
      0.405      340.0     13.8349     12.9776     13.5679
      0.405      345.0     13.8349     12.9776     13.5679
      0.405      350.0     13.8349     12.9776     13.5679
      0.405      355.0     13.8349     12.9776     13.5679
      0.405      360.0     13.8349     12.9776     13.5679
      0.405      365.0     13.8349     12.9776     13.5679
      0.405      370.0     13.8349     12.9776     13.5679
      0.405      375.0     13.8349     12.9775     13.5679
      0.405      380.0     13.8349     12.9775     13.5679
      0.405      385.0     13.8349     12.9775     13.5679
      0.405      390.0     13.8349     12.9775     13.5679
      0.405      395.0     13.8349     12.9775     13.5679
      0.405      400.0     13.8349     12.9775     13.5679
      0.410      200.0      7.5989   -234.5819    -69.1351
      0.410      205.0      8.2690   -223.9201    -65.2986
      0.410      210.0      8.7378   -209.7882    -60.4980
      0.410      215.0      9.0594   -188.3273    -53.4751
      0.410      220.0      9.7313   -164.6132    -45.5014
      0.410      225.0     10.4309   -141.9696    -37.8493
      0.410      230.0     10.9935   -117.9310    -29.8488
      0.410      235.0     11.4996    -90.8375    -20.9189
      0.410      240.0     11.8783    -63.7662    -12.0826
      0.410      245.0     12.0991    -42.2265     -5.1064
      0.410      250.0     12.3274    -26.8524     -0.0790
      0.410      255.0     12.5763    -15.8005      3.5926
      0.410      260.0     12.8121     -7.6113      6.3481
      0.410      265.0     13.0132     -1.4682      8.4316
      0.410      270.0     13.1719      3.1144      9.9919
      0.410      275.0     13.2924      6.4797     11.1403
      0.410      280.0     13.3867      8.8919     11.9688
      0.410      285.0     13.4679     10.5587     12.5522
      0.410      290.0     13.5463     11.6579     12.9538
      0.410      295.0     13.6261     12.3463     13.2261
      0.410      300.0     13.6986     12.7505     13.4034
      0.410      305.0     13.7523     12.9769     13.5116
      0.410      310.0     13.7889     13.1017     13.5760
      0.410      315.0     13.8125     13.1725     13.6145
      0.410      320.0     13.8248     13.2132     13.6357
      0.410      325.0     13.8292     13.2337     13.6452
      0.410      330.0     13.8297     13.2401     13.6476
      0.410      335.0     13.8296     13.2410     13.6478
      0.410      340.0     13.8299     13.2428     13.6486
      0.410      345.0     13.8300     13.2433     13.6488
      0.410      350.0     13.8300     13.2433     13.6488
      0.410      355.0     13.8300     13.2433     13.6488
      0.410      360.0     13.8300     13.2433     13.6488
      0.410      365.0     13.8300     13.2433     13.6488
      0.410      370.0     13.8300     13.2433     13.6488
      0.410      375.0     13.8300     13.2433     13.6488
      0.410      380.0     13.8300     13.2433     13.6488
      0.410      385.0     13.8300     13.2433     13.6488
      0.410      390.0     13.8300     13.2433     13.6488
      0.410      395.0     13.8300     13.2433     13.6488
      0.410      400.0     13.8300     13.2433     13.6488
      0.415      200.0      6.9273   -242.3368    -72.0484
      0.415      205.0      7.7625   -232.8025    -68.4599
      0.415      210.0      8.3906   -221.6469    -64.4950
      0.415      215.0      8.8132   -206.3991    -59.3720
      0.415      220.0      9.1714   -183.8136    -51.9681
      0.415      225.0      9.8780   -160.3027    -44.0354
      0.415      230.0     10.5436   -137.5470    -36.3710
      0.415      235.0     11.0698   -112.9261    -28.2109
      0.415      240.0     11.5618    -85.4631    -19.1735
      0.415      245.0     11.9148    -59.1666    -10.6002
      0.415      250.0     12.1457    -38.8939     -4.0186
      0.415      255.0     12.3885    -24.4634      0.7195
      0.415      260.0     12.6382    -14.0304      4.1956
      0.415      265.0     12.8648     -6.2684      6.8095
      0.415      270.0     13.0529     -0.4344      8.7863
      0.415      275.0     13.1992      3.9210     10.2660
      0.415      280.0     13.3102      7.1191     11.3550
      0.415      285.0     13.3986      9.4078     12.1404
      0.415      290.0     13.4768     10.9823     12.6925
      0.415      295.0     13.5542     12.0169     13.0729
      0.415      300.0     13.6329     12.6602     13.3302
      0.415      305.0     13.7031     13.0355     13.4968
      0.415      310.0     13.7538     13.2448     13.5976
      0.415      315.0     13.7879     13.3571     13.6563
      0.415      320.0     13.8096     13.4220     13.6916
      0.415      325.0     13.8190     13.4556     13.7087
      0.415      330.0     13.8220     13.4718     13.7158
      0.415      335.0     13.8223     13.4766     13.7175
      0.415      340.0     13.8223     13.4774     13.7177
      0.415      345.0     13.8226     13.4793     13.7186
      0.415      350.0     13.8226     13.4794     13.7186
      0.415      355.0     13.8226     13.4794     13.7186
      0.415      360.0     13.8226     13.4794     13.7186
      0.415      365.0     13.8226     13.4794     13.7186
      0.415      370.0     13.8226     13.4793     13.7186
      0.415      375.0     13.8226     13.4793     13.7186
      0.415      380.0     13.8226     13.4793     13.7186
