Star: CS31082;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      7.4291   -221.1613    -65.0461
      0.400      205.0      8.9777   -197.7451    -56.5737
      0.400      210.0     10.6407   -175.0770    -48.2608
      0.400      215.0     11.8929   -152.7966    -40.3497
      0.400      220.0     12.6632   -130.5886    -32.7886
      0.400      225.0     13.0993   -108.6107    -25.5274
      0.400      230.0     13.4422    -87.4070    -18.5748
      0.400      235.0     13.7967    -67.7033    -12.0897
      0.400      240.0     14.2360    -50.5250     -6.3474
      0.400      245.0     14.7458    -36.3103     -1.4964
      0.400      250.0     15.1694    -24.9112      2.4037
      0.400      255.0     15.4552    -15.8490      5.4697
      0.400      260.0     15.6534     -8.5393      7.9208
      0.400      265.0     15.8179     -2.6204      9.9083
      0.400      270.0     15.9678      1.9906     11.4714
      0.400      275.0     16.0963      5.3629     12.6274
      0.400      280.0     16.1952      7.6765     13.4277
      0.400      285.0     16.2695      9.1829     13.9556
      0.400      290.0     16.3295     10.1354     14.2982
      0.400      295.0     16.3784     10.7360     14.5217
      0.400      300.0     16.4149     11.1215     14.6687
      0.400      305.0     16.4427     11.3825     14.7703
      0.400      310.0     16.4662     11.5668     14.8446
      0.400      315.0     16.4814     11.6784     14.8903
      0.400      320.0     16.4854     11.7213     14.9066
      0.400      325.0     16.4856     11.7314     14.9099
      0.400      330.0     16.4856     11.7313     14.9099
      0.400      335.0     16.4856     11.7313     14.9099
      0.400      340.0     16.4856     11.7313     14.9099
      0.400      345.0     16.4856     11.7313     14.9099
      0.400      350.0     16.4856     11.7313     14.9099
      0.400      355.0     16.4856     11.7313     14.9099
      0.400      360.0     16.4856     11.7313     14.9099
      0.400      365.0     16.4856     11.7312     14.9099
      0.400      370.0     16.4856     11.7312     14.9099
      0.400      375.0     16.4856     11.7312     14.9099
      0.400      380.0     16.4856     11.7312     14.9098
      0.400      385.0     16.4856     11.7312     14.9098
      0.400      390.0     16.4856     11.7312     14.9098
      0.400      395.0     16.4856     11.7311     14.9098
