Star: CS31082;    Mass table: hfb24
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      9.4392   -221.8607    -63.9030
      0.400      205.0      9.7663   -203.2070    -57.7694
      0.400      210.0     10.3086   -179.3881    -49.8525
      0.400      215.0     11.0422   -156.7021    -42.1649
      0.400      220.0     11.6774   -133.6720    -34.4351
      0.400      225.0     12.2306   -107.8434    -25.8740
      0.400      230.0     12.6799    -79.9981    -16.7443
      0.400      235.0     12.9053    -55.9071     -8.9565
      0.400      240.0     13.0969    -38.3922     -3.2756
      0.400      245.0     13.3306    -25.9259      0.8338
      0.400      250.0     13.5755    -16.7729      3.9008
      0.400      255.0     13.7989     -9.9364      6.2191
      0.400      260.0     13.9827     -4.8448      7.9575
      0.400      265.0     14.1241     -1.1069      9.2381
      0.400      270.0     14.2321      1.5801     10.1629
      0.400      275.0     14.3207      3.4522     10.8164
      0.400      280.0     14.4021      4.6979     11.2664
      0.400      285.0     14.4833      5.4860     11.5713
      0.400      290.0     14.5602      5.9557     11.7724
      0.400      295.0     14.6200      6.2210     11.8971
      0.400      300.0     14.6610      6.3680     11.9715
      0.400      305.0     14.6884      6.4508     12.0163
      0.400      310.0     14.7035      6.4986     12.0417
      0.400      315.0     14.7097      6.5242     12.0540
      0.400      320.0     14.7111      6.5345     12.0582
      0.400      325.0     14.7110      6.5363     12.0588
      0.400      330.0     14.7111      6.5375     12.0592
      0.400      335.0     14.7114      6.5389     12.0598
      0.400      340.0     14.7114      6.5389     12.0598
      0.400      345.0     14.7114      6.5389     12.0598
      0.400      350.0     14.7114      6.5389     12.0598
      0.400      355.0     14.7114      6.5389     12.0598
      0.400      360.0     14.7114      6.5389     12.0598
      0.400      365.0     14.7114      6.5389     12.0598
      0.400      370.0     14.7114      6.5388     12.0598
      0.400      375.0     14.7114      6.5388     12.0598
      0.400      380.0     14.7114      6.5388     12.0598
      0.400      385.0     14.7114      6.5388     12.0598
      0.400      390.0     14.7114      6.5388     12.0598
      0.400      395.0     14.7114      6.5388     12.0598
      0.400      400.0     14.7114      6.5388     12.0598
      0.405      200.0      9.0144   -232.1903    -67.4651
      0.405      205.0      9.5284   -218.8958    -62.9028
      0.405      210.0      9.8397   -198.7206    -56.2976
      0.405      215.0     10.4550   -174.8425    -48.3126
      0.405      220.0     11.1776   -152.2228    -40.6534
      0.405      225.0     11.7782   -128.7479    -32.8061
      0.405      230.0     12.3043   -102.2610    -24.0548
      0.405      235.0     12.7158    -74.7024    -15.0417
      0.405      240.0     12.9338    -51.9030     -7.6682
      0.405      245.0     13.1444    -35.5277     -2.3356
      0.405      250.0     13.3881    -23.8180      1.5409
      0.405      255.0     13.6301    -15.1783      4.4432
      0.405      260.0     13.8431     -8.7092      6.6379
      0.405      265.0     14.0145     -3.8861      8.2828
      0.405      270.0     14.1451     -0.3440      9.4941
      0.405      275.0     14.2460      2.1997     10.3687
      0.405      280.0     14.3307      3.9655     10.9858
      0.405      285.0     14.4104      5.1351     11.4106
      0.405      290.0     14.4909      5.8708     11.6984
      0.405      295.0     14.5658      6.3059     11.8871
      0.405      300.0     14.6224      6.5505     12.0031
      0.405      305.0     14.6612      6.6857     12.0722
      0.405      310.0     14.6867      6.7620     12.1137
      0.405      315.0     14.7003      6.8060     12.1369
      0.405      320.0     14.7057      6.8292     12.1479
      0.405      325.0     14.7067      6.8381     12.1515
      0.405      330.0     14.7066      6.8394     12.1518
      0.405      335.0     14.7068      6.8410     12.1524
      0.405      340.0     14.7069      6.8418     12.1528
      0.405      345.0     14.7069      6.8418     12.1528
      0.405      350.0     14.7069      6.8418     12.1528
      0.405      355.0     14.7069      6.8418     12.1528
      0.405      360.0     14.7069      6.8418     12.1528
      0.405      365.0     14.7069      6.8418     12.1528
      0.405      370.0     14.7069      6.8418     12.1528
      0.405      375.0     14.7069      6.8418     12.1528
      0.405      380.0     14.7069      6.8418     12.1528
      0.405      385.0     14.7069      6.8418     12.1528
      0.405      390.0     14.7069      6.8418     12.1528
      0.405      395.0     14.7069      6.8418     12.1528
      0.405      400.0     14.7069      6.8418     12.1528
      0.410      200.0      8.4709   -240.8196    -70.5688
      0.410      205.0      9.1410   -229.9759    -66.6773
      0.410      210.0      9.6098   -215.7005    -61.8350
      0.410      215.0      9.9314   -194.1506    -54.7871
      0.410      220.0     10.6033   -170.4004    -46.8041
      0.410      225.0     11.3029   -147.7643    -39.1554
      0.410      230.0     11.8655   -123.7646    -31.1676
      0.410      235.0     12.3716    -96.7287    -22.2558
      0.410      240.0     12.7503    -69.7191    -13.4390
      0.410      245.0     12.9711    -48.2327     -6.4797
      0.410      250.0     13.1994    -32.8988     -1.4651
      0.410      255.0     13.4483    -21.8747      2.1976
      0.410      260.0     13.6841    -13.7037      4.9472
      0.410      265.0     13.8852     -7.5721      7.0269
      0.410      270.0     14.0439     -2.9962      8.5848
      0.410      275.0     14.1644      0.3653      9.7319
      0.410      280.0     14.2587      2.7755     10.5598
      0.410      285.0     14.3399      4.4412     11.1428
      0.410      290.0     14.4183      5.5394     11.5441
      0.410      295.0     14.4981      6.2268     11.8161
      0.410      300.0     14.5706      6.6302     11.9932
      0.410      305.0     14.6243      6.8559     12.1011
      0.410      310.0     14.6609      6.9804     12.1654
      0.410      315.0     14.6845      7.0509     12.2039
      0.410      320.0     14.6968      7.0914     12.2250
      0.410      325.0     14.7012      7.1119     12.2345
      0.410      330.0     14.7017      7.1182     12.2368
      0.410      335.0     14.7016      7.1191     12.2371
      0.410      340.0     14.7019      7.1209     12.2378
      0.410      345.0     14.7020      7.1214     12.2380
      0.410      350.0     14.7020      7.1214     12.2380
      0.410      355.0     14.7020      7.1214     12.2380
      0.410      360.0     14.7020      7.1214     12.2380
      0.410      365.0     14.7020      7.1214     12.2380
      0.410      370.0     14.7020      7.1214     12.2380
      0.410      375.0     14.7020      7.1214     12.2380
      0.410      380.0     14.7020      7.1214     12.2380
      0.410      385.0     14.7020      7.1214     12.2380
      0.410      390.0     14.7020      7.1214     12.2380
      0.410      395.0     14.7020      7.1214     12.2380
      0.410      400.0     14.7020      7.1213     12.2380
      0.415      200.0      7.7993   -248.7281    -73.5311
      0.415      205.0      8.6345   -239.0034    -69.8822
      0.415      210.0      9.2626   -227.6656    -65.8626
      0.415      215.0      9.6852   -212.2796    -60.6996
      0.415      220.0     10.0434   -189.6124    -53.2728
      0.415      225.0     10.7500   -166.0725    -45.3330
      0.415      230.0     11.4156   -143.3302    -37.6736
      0.415      235.0     11.9418   -118.7525    -29.5273
      0.415      240.0     12.4338    -91.3492    -20.5088
      0.415      245.0     12.7868    -65.1139    -11.9547
      0.415      250.0     13.0177    -44.8927     -5.3895
      0.415      255.0     13.2605    -30.5003     -0.6635
      0.415      260.0     13.5102    -20.0934      2.8041
      0.415      265.0     13.7368    -12.3484      5.4125
      0.415      270.0     13.9249     -6.5250      7.3857
      0.415      275.0     14.0712     -2.1759      8.8633
      0.415      280.0     14.1822      1.0188      9.9511
      0.415      285.0     14.2706      3.3057     10.7359
      0.415      290.0     14.3488      4.8790     11.2876
      0.415      295.0     14.4262      5.9127     11.6677
      0.415      300.0     14.5049      6.5550     11.9248
      0.415      305.0     14.5751      6.9295     12.0911
      0.415      310.0     14.6258      7.1382     12.1917
      0.415      315.0     14.6599      7.2501     12.2503
      0.415      320.0     14.6816      7.3147     12.2855
      0.415      325.0     14.6910      7.3482     12.3025
      0.415      330.0     14.6940      7.3644     12.3097
      0.415      335.0     14.6943      7.3691     12.3113
      0.415      340.0     14.6943      7.3698     12.3115
      0.415      345.0     14.6946      7.3718     12.3124
      0.415      350.0     14.6946      7.3718     12.3124
      0.415      355.0     14.6946      7.3718     12.3124
      0.415      360.0     14.6946      7.3718     12.3124
      0.415      365.0     14.6946      7.3718     12.3124
      0.415      370.0     14.6946      7.3718     12.3124
      0.415      375.0     14.6946      7.3718     12.3124
