Star: J0954;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      4.8131   -207.9911    -62.6482
      0.400      205.0      6.3617   -187.0014    -54.9449
      0.400      210.0      8.0247   -166.6328    -47.3607
      0.400      215.0      9.2769   -146.5104    -40.1335
      0.400      220.0     10.0472   -126.2880    -33.2017
      0.400      225.0     10.4833   -106.0695    -26.4980
      0.400      230.0     10.8262    -86.3292    -20.0093
      0.400      235.0     11.1807    -67.7499    -13.8805
      0.400      240.0     11.6200    -51.3869     -8.3965
      0.400      245.0     12.1298    -37.7551     -3.7303
      0.400      250.0     12.5534    -26.7771      0.0364
      0.400      255.0     12.8392    -18.0194      3.0059
      0.400      260.0     13.0374    -10.9266      5.3883
      0.400      265.0     13.2019     -5.1588      7.3278
      0.400      270.0     13.3518     -0.6489      8.8589
      0.400      275.0     13.4803      2.6612      9.9951
      0.400      280.0     13.5792      4.9423     10.7852
      0.400      285.0     13.6535      6.4363     11.3091
      0.400      290.0     13.7135      7.3873     11.6513
      0.400      295.0     13.7624      7.9909     11.8757
      0.400      300.0     13.7989      8.3795     12.0237
      0.400      305.0     13.8267      8.6423     12.1259
      0.400      310.0     13.8502      8.8274     12.2004
      0.400      315.0     13.8654      8.9391     12.2461
      0.400      320.0     13.8694      8.9820     12.2625
      0.400      325.0     13.8696      8.9922     12.2658
      0.400      330.0     13.8696      8.9922     12.2658
      0.400      335.0     13.8696      8.9922     12.2658
      0.400      340.0     13.8696      8.9922     12.2658
      0.400      345.0     13.8696      8.9922     12.2658
      0.400      350.0     13.8696      8.9922     12.2658
      0.400      355.0     13.8696      8.9922     12.2658
      0.400      360.0     13.8696      8.9922     12.2658
      0.400      365.0     13.8696      8.9922     12.2658
      0.400      370.0     13.8696      8.9922     12.2658
      0.400      375.0     13.8696      8.9922     12.2658
      0.400      380.0     13.8696      8.9922     12.2658
      0.400      385.0     13.8696      8.9922     12.2658
      0.400      390.0     13.8696      8.9922     12.2658
      0.400      395.0     13.8696      8.9922     12.2658
      0.400      400.0     13.8696      8.9922     12.2658
      0.405      200.0      4.1183   -224.3141    -68.2929
      0.405      205.0      5.1278   -204.0435    -61.1835
      0.405      210.0      6.7567   -183.0597    -53.4275
      0.405      215.0      8.3440   -162.6385    -45.8781
      0.405      220.0      9.4691   -142.4032    -38.7014
      0.405      225.0     10.1378   -122.1272    -31.8216
      0.405      230.0     10.5329   -101.9740    -25.1665
      0.405      235.0     10.8785    -82.4174    -18.7341
      0.405      240.0     11.2409    -64.2274    -12.7233
      0.405      245.0     11.7095    -48.4393     -7.4017
      0.405      250.0     12.2184    -35.3817     -2.9180
      0.405      255.0     12.6193    -24.8918      0.6786
      0.405      260.0     12.8863    -16.5226      3.5122
      0.405      265.0     13.0740     -9.7307      5.7921
      0.405      270.0     13.2336     -4.2080      7.6507
      0.405      275.0     13.3805      0.0988      9.1153
      0.405      280.0     13.5052      3.2457     10.1973
      0.405      285.0     13.6002      5.4012     10.9449
      0.405      290.0     13.6720      6.8043     11.4383
      0.405      295.0     13.7303      7.6966     11.7607
      0.405      300.0     13.7775      8.2656     11.9730
      0.405      305.0     13.8124      8.6349     12.1138
      0.405      310.0     13.8395      8.8877     12.2123
      0.405      315.0     13.8623      9.0663     12.2844
      0.405      320.0     13.8767      9.1726     12.3278
      0.405      325.0     13.8802      9.2122     12.3427
      0.405      330.0     13.8801      9.2190     12.3448
      0.405      335.0     13.8801      9.2190     12.3448
      0.405      340.0     13.8801      9.2190     12.3448
      0.405      345.0     13.8801      9.2190     12.3448
      0.405      350.0     13.8801      9.2190     12.3448
      0.405      355.0     13.8801      9.2190     12.3448
      0.405      360.0     13.8801      9.2190     12.3448
      0.405      365.0     13.8801      9.2190     12.3448
      0.405      370.0     13.8801      9.2190     12.3448
      0.405      375.0     13.8801      9.2190     12.3448
      0.405      380.0     13.8801      9.2190     12.3448
      0.405      385.0     13.8801      9.2190     12.3448
      0.405      390.0     13.8801      9.2190     12.3448
      0.405      395.0     13.8801      9.2190     12.3448
      0.405      400.0     13.8801      9.2190     12.3448
      0.410      200.0      3.2658   -236.9328    -72.8708
      0.410      205.0      4.3391   -220.8601    -67.0484
      0.410      210.0      5.4741   -200.1023    -59.6993
      0.410      215.0      7.1415   -179.0980    -51.9107
      0.410      220.0      8.6249   -158.6326    -44.4178
      0.410      225.0      9.6268   -138.3118    -37.2977
      0.410      230.0     10.2084   -118.0211    -30.4724
      0.410      235.0     10.5827    -97.9613    -23.8610
      0.410      240.0     10.9276    -78.6039    -17.4922
      0.410      245.0     11.3071    -60.8696    -11.6142
      0.410      250.0     11.8012    -45.6654     -6.4603
      0.410      255.0     12.3023    -33.1550     -2.1553
      0.410      260.0     12.6806    -23.1234      1.2807
      0.410      265.0     12.9306    -15.1190      3.9871
      0.410      270.0     13.1094     -8.6097      6.1714
      0.410      275.0     13.2648     -3.3182      7.9539
      0.410      280.0     13.4086      0.7983      9.3561
      0.410      285.0     13.5294      3.7926     10.3870
      0.410      290.0     13.6207      5.8303     11.0948
      0.410      295.0     13.6903      7.1505     11.5605
      0.410      300.0     13.7471      7.9902     11.8651
      0.410      305.0     13.7925      8.5282     12.0664
      0.410      310.0     13.8259      8.8804     12.2008
      0.410      315.0     13.8524      9.1244     12.2960
      0.410      320.0     13.8747      9.2968     12.3658
      0.410      325.0     13.8878      9.3956     12.4061
      0.410      330.0     13.8900      9.4253     12.4170
      0.410      335.0     13.8901      9.4282     12.4179
      0.410      340.0     13.8901      9.4282     12.4179
      0.410      345.0     13.8901      9.4282     12.4179
      0.410      350.0     13.8901      9.4282     12.4179
      0.410      355.0     13.8901      9.4282     12.4179
      0.410      360.0     13.8901      9.4282     12.4179
      0.410      365.0     13.8901      9.4282     12.4179
      0.410      370.0     13.8901      9.4282     12.4179
      0.410      375.0     13.8901      9.4282     12.4179
      0.410      380.0     13.8901      9.4282     12.4179
      0.410      385.0     13.8901      9.4282     12.4179
      0.410      390.0     13.8901      9.4282     12.4179
      0.410      395.0     13.8901      9.4282     12.4179
      0.410      400.0     13.8901      9.4282     12.4179
      0.415      200.0      2.1546   -247.7318    -77.0475
      0.415      205.0      3.5312   -234.2188    -71.8304
      0.415      210.0      4.5790   -217.2780    -65.7503
      0.415      215.0      5.8392   -196.2010    -58.2151
      0.415      220.0      7.4993   -175.1730    -50.4240
      0.415      225.0      8.8673   -154.6327    -42.9857
      0.415      230.0      9.7545   -134.2494    -35.9235
      0.415      235.0     10.2662   -113.9921    -29.1563
      0.415      240.0     10.6334    -94.0485    -22.5865
      0.415      245.0     10.9738    -74.9296    -16.2963
      0.415      250.0     11.3798    -57.7002    -10.5604
      0.415      255.0     11.8925    -43.0702     -5.5759
      0.415      260.0     12.3810    -31.0749     -1.4427
      0.415      265.0     12.7376    -21.4724      1.8426
      0.415      270.0     12.9722    -13.8072      4.4311
