Star: J0954;    Mass table: hfb24
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      6.8232   -196.6909    -57.7023
      0.400      205.0      7.1503   -181.1283    -52.5482
      0.400      210.0      7.6926   -160.4756    -45.6349
      0.400      215.0      8.4262   -140.8845    -38.9281
      0.400      220.0      9.0614   -120.7730    -32.1232
      0.400      225.0      9.6146    -97.5970    -24.4028
      0.400      230.0     10.0639    -72.0312    -15.9955
      0.400      235.0     10.2893    -49.7471     -8.7803
      0.400      240.0     10.4809    -33.5683     -3.5229
      0.400      245.0     10.7146    -22.0488      0.2865
      0.400      250.0     10.9595    -13.5496      3.1463
      0.400      255.0     11.1829     -7.1533      5.3251
      0.400      260.0     11.3667     -2.3464      6.9732
      0.400      265.0     11.5081      1.2200      8.1995
      0.400      270.0     11.6161      3.8154      9.0953
      0.400      275.0     11.7047      5.6483      9.7364
      0.400      280.0     11.7861      6.8850     10.1835
      0.400      285.0     11.8673      7.6778     10.4899
      0.400      290.0     11.9442      8.1550     10.6934
      0.400      295.0     12.0040      8.4240     10.8192
      0.400      300.0     12.0450      8.5698     10.8932
      0.400      305.0     12.0724      8.6508     10.9375
      0.400      310.0     12.0875      8.6978     10.9627
      0.400      315.0     12.0937      8.7233     10.9750
      0.400      320.0     12.0951      8.7337     10.9792
      0.400      325.0     12.0950      8.7357     10.9798
      0.400      330.0     12.0951      8.7369     10.9802
      0.400      335.0     12.0954      8.7383     10.9809
      0.400      340.0     12.0954      8.7383     10.9809
      0.400      345.0     12.0954      8.7383     10.9809
      0.400      350.0     12.0954      8.7383     10.9809
      0.400      355.0     12.0954      8.7383     10.9809
      0.400      360.0     12.0954      8.7383     10.9809
      0.400      365.0     12.0954      8.7383     10.9809
      0.400      370.0     12.0954      8.7383     10.9809
      0.400      375.0     12.0954      8.7383     10.9809
      0.400      380.0     12.0954      8.7383     10.9809
      0.400      385.0     12.0954      8.7383     10.9809
      0.400      390.0     12.0954      8.7383     10.9809
      0.400      395.0     12.0954      8.7383     10.9809
      0.400      400.0     12.0954      8.7383     10.9809
      0.405      200.0      6.3984   -204.5692    -60.4875
      0.405      205.0      6.9124   -194.2049    -56.8539
      0.405      210.0      7.2237   -177.1812    -51.2474
      0.405      215.0      7.8390   -156.4979    -44.2749
      0.405      220.0      8.5616   -136.9748    -37.5971
      0.405      225.0      9.1622   -116.3977    -30.6682
      0.405      230.0      9.6883    -92.5199    -22.7437
      0.405      235.0     10.0998    -67.1719    -14.4311
      0.405      240.0     10.3178    -46.0997     -7.6050
      0.405      245.0     10.5284    -30.9913     -2.6739
      0.405      250.0     10.7721    -20.1761      0.9191
      0.405      255.0     11.0141    -12.1528      3.6260
      0.405      260.0     11.2271     -6.0975      5.6896
      0.405      265.0     11.3985     -1.5400      7.2504
      0.405      270.0     11.5291      1.8443      8.4116
      0.405      275.0     11.6300      4.3056      9.2601
      0.405      280.0     11.7147      6.0376      9.8665
      0.405      285.0     11.7944      7.2009     10.2893
      0.405      290.0     11.8749      7.9423     10.5789
      0.405      295.0     11.9498      8.3849     10.7700
      0.405      300.0     12.0064      8.6325     10.8869
      0.405      305.0     12.0452      8.7662     10.9556
      0.405      310.0     12.0707      8.8408     10.9966
      0.405      315.0     12.0843      8.8842     11.0195
      0.405      320.0     12.0897      8.9073     11.0305
      0.405      325.0     12.0907      8.9164     11.0341
      0.405      330.0     12.0906      8.9178     11.0345
      0.405      335.0     12.0908      8.9194     11.0351
      0.405      340.0     12.0909      8.9203     11.0355
      0.405      345.0     12.0909      8.9203     11.0355
      0.405      350.0     12.0909      8.9203     11.0355
      0.405      355.0     12.0909      8.9203     11.0355
      0.405      360.0     12.0909      8.9203     11.0355
      0.405      365.0     12.0909      8.9203     11.0355
      0.405      370.0     12.0909      8.9203     11.0355
      0.405      375.0     12.0909      8.9203     11.0355
      0.405      380.0     12.0909      8.9203     11.0355
      0.405      385.0     12.0909      8.9203     11.0355
      0.405      390.0     12.0909      8.9203     11.0355
      0.405      395.0     12.0909      8.9203     11.0355
      0.405      400.0     12.0909      8.9203     11.0355
      0.410      200.0      5.8549   -210.9371    -62.8746
      0.410      205.0      6.5250   -202.7656    -59.8299
      0.410      210.0      6.9938   -191.5016    -55.9419
      0.410      215.0      7.3154   -173.1565    -49.9097
      0.410      220.0      7.9873   -152.6226    -42.9460
      0.410      225.0      8.6869   -133.0789    -36.2774
      0.410      230.0      9.2495   -111.9511    -29.1996
      0.410      235.0      9.7556    -87.4752    -21.0992
      0.410      240.0     10.1343    -62.6038    -12.9600
      0.410      245.0     10.3551    -42.7666     -6.5233
      0.410      250.0     10.5834    -28.6338     -1.8894
      0.410      255.0     10.8323    -18.4554      1.5052
      0.410      260.0     11.0681    -10.8663      4.0704
      0.410      265.0     11.2692     -5.1237      6.0268
      0.410      270.0     11.4279     -0.7954      7.5063
      0.410      275.0     11.5484      2.4209      8.6074
      0.410      280.0     11.6427      4.7571      9.4118
      0.410      285.0     11.7239      6.3939      9.9857
      0.410      290.0     11.8023      7.4882     10.3857
      0.410      295.0     11.8821      8.1821     10.6598
      0.410      300.0     11.9546      8.5927     10.8392
      0.410      305.0     12.0083      8.8209     10.9479
      0.410      310.0     12.0449      8.9436     11.0116
      0.410      315.0     12.0685      9.0126     11.0495
      0.410      320.0     12.0808      9.0525     11.0705
      0.410      325.0     12.0852      9.0730     11.0800
      0.410      330.0     12.0857      9.0795     11.0824
      0.410      335.0     12.0856      9.0805     11.0827
      0.410      340.0     12.0859      9.0823     11.0834
      0.410      345.0     12.0860      9.0829     11.0837
      0.410      350.0     12.0860      9.0829     11.0837
      0.410      355.0     12.0860      9.0829     11.0837
      0.410      360.0     12.0860      9.0829     11.0837
      0.410      365.0     12.0860      9.0829     11.0837
      0.410      370.0     12.0860      9.0829     11.0837
      0.410      375.0     12.0860      9.0829     11.0837
